22;331;35c;490;
3e;326;341;5888;
3e;327;340;5e2c;
3c;325;341;63d0;
3b;325;341;6978;
3b;324;33f;6f1c;
3a;326;341;74c0;
38;324;343;7a64;
38;328;343;8010;
37;325;345;85b0;
36;326;344;8b54;
35;326;346;90f8;
34;327;341;96a0;
33;328;347;9c44;
32;327;347;a1e8;
32;327;346;a78c;
30;326;348;ad34;
30;328;347;b2d8;
2f;329;348;b87c;
2e;32a;346;be20;
2e;329;34a;c3c8;
2d;32b;348;c96c;
2c;32b;34b;cf10;
2c;329;34c;d4b4;
2b;32c;348;da5c;
2a;329;34c;e004;
2a;32b;34a;e5a4;
29;32b;34c;eb48;
29;32c;34c;f0f0;
28;32e;34e;f694;
27;32f;34e;fc38;
26;32d;34e;1dc;
26;32a;34c;72c;
26;32a;34e;c7c;
25;32c;34f;11cc;
24;32c;34d;1774;
23;32b;34f;1d18;
23;32f;351;22bc;
23;32e;350;2860;
22;333;34d;2e08;
22;32e;350;33ac;
21;32e;352;3950;
21;330;34e;3ef4;
20;32f;351;449c;
20;32f;354;4a40;
20;32f;34f;4fe4;
1f;32f;351;5588;
1f;330;354;5b30;
1e;330;352;60d4;
1e;330;352;6678;
1e;330;352;6c20;
1d;330;353;71c4;
1d;333;353;7768;
1c;330;352;7d0c;
1c;330;354;82b0;
1b;331;355;8858;
1c;32f;354;8dfc;
1b;32e;355;93a0;
1b;330;354;9944;
1b;331;355;9eec;
1b;333;356;a490;
1b;331;353;aa34;
1b;331;354;afd8;
19;332;358;b580;
1a;332;353;bb24;
1a;330;356;c0c8;
1a;331;356;c66c;
19;330;356;cc18;
1a;331;358;d1b8;
19;32f;356;d75c;
19;333;359;dd00;
18;330;358;e2a8;
18;330;358;e84c;
18;332;358;edf0;
19;331;359;f394;
18;332;355;f93c;
19;332;358;fee0;
19;331;358;484;
19;334;356;9d4;
19;332;359;f24;
1a;330;358;1474;
19;331;359;1a18;
19;332;359;1fc0;
18;331;359;2564;
19;330;358;2b08;
19;331;356;30ac;
1a;331;35c;3654;
1a;330;35c;3bf8;
1a;333;357;419c;
1a;330;35a;4740;
1a;337;356;4ce8;
1a;332;359;528c;
1b;331;359;5830;
1b;333;35c;5dd4;
1b;330;356;637c;
1c;331;35a;6920;
1d;331;359;6ec4;
1c;332;359;7468;
1d;332;35a;7a10;
1c;332;358;7fb4;
1d;331;359;8558;
1e;32f;35a;8afc;
1d;332;359;90a4;
1e;32f;35b;9648;
1e;331;35a;9bec;
1f;330;359;a190;
1e;331;35a;a738;
20;32f;358;acdc;
20;32f;359;b280;
21;332;35a;b824;
21;331;35a;bdcc;
21;331;359;c370;
23;331;359;c914;
23;330;357;ceb8;
23;333;356;d460;
23;331;357;da04;
24;333;35c;dfa8;
24;332;35a;e54c;
25;330;359;eaf4;
26;330;35a;f098;
26;331;359;f63c;
27;331;35c;fbe0;
28;331;35b;188;
28;332;359;6d8;
29;334;359;c28;
2a;331;35c;1178;
2a;332;357;171c;
2a;332;359;1cc0;
