
;32d;34a;d3bc;
19;32f;34b;df90;
19;332;34d;e534;
1b;331;351;ead8;
1c;331;352;f080;
1c;333;353;f624;
1e;334;356;fbc8;
1f;333;354;16c;
21;332;357;6bc;
22;335;357;c14;
25;332;359;115c;
27;332;35a;1704;
29;334;35d;1ca8;
2c;334;35c;224c;
2e;335;35c;27f0;
32;334;35e;2d98;
36;332;35e;333c;
38;335;35e;38e0;
3b;32f;35f;3e84;
40;337;35d;442c;
43;334;35c;49d0;
47;332;35f;4f74;
4a;331;360;5518;
4e;333;35f;5ac0;
52;331;361;6064;
57;331;360;6608;
5b;32f;35f;6bac;
60;32d;35f;7154;
64;32e;360;76f8;
68;332;35d;7c9c;
6c;32e;362;8240;
72;32b;35d;87e8;
77;32a;35d;8d8c;
7b;32c;35f;9330;
7f;328;35d;98d4;
84;327;35e;9e7c;
89;329;35e;a420;
8d;328;35c;a9c4;
92;322;358;af68;
97;322;35c;b510;
9c;31f;35d;bab4;
a0;31e;356;c058;
a5;31d;356;c5fc;
a9;31a;358;cba4;
ad;31b;354;d148;
b1;317;355;d6ec;
b5;316;351;dc90;
b8;314;34f;e238;
bd;316;34d;e7dc;
c0;313;34d;ed80;
c3;316;34b;f324;
c7;315;348;f8cc;
cb;315;349;fe70;
ce;314;347;41c;
d0;315;346;964;
d3;315;345;eb4;
d6;316;342;140c;
d8;312;340;19a8;
da;315;33b;1f50;
dc;316;33a;24f4;
de;315;33a;2a98;
df;31a;337;303c;
e0;318;334;35e4;
e2;315;333;3b88;
e3;317;332;412c;
e4;313;32e;46d0;
e5;316;32d;4c78;
e5;312;32a;521c;
e5;311;324;57c0;
e5;315;325;5d64;
e5;315;325;630c;
e5;312;321;68b0;
e5;312;31f;6e54;
e3;30e;31e;73f8;
e2;30f;31d;79a0;
e1;311;31c;7f44;
df;313;31c;84e8;
de;312;31a;8a8c;
dc;310;31a;9034;
da;311;316;95d8;
d8;311;318;9b7c;
d6;30f;315;a120;
d3;313;315;a6c8;
d0;312;317;ac6c;
ce;30f;316;b210;
ca;312;315;b7b4;
c7;312;316;bd5c;
c4;310;316;c300;
c0;30f;314;c8a4;
bc;311;316;ce48;
b9;312;318;d3f0;
b5;30f;315;d994;
b1;312;315;df38;
ad;312;315;e4dc;
a8;30f;316;ea84;
a4;311;318;f028;
a1;30f;315;f5cc;
9b;310;315;fb70;
97;30f;315;118;
93;310;315;668;
8f;311;317;bb8;
8a;310;316;1108;
85;311;315;16ac;
81;311;318;1c50;
7c;30f;315;21f4;
78;310;318;279c;
74;30f;31b;2d40;
6e;311;315;32e4;
6a;311;317;3888;
66;310;318;3e30;
61;30e;31a;43d4;
5b;314;31d;4978;
58;311;31c;4f1c;
53;30f;31d;54c4;
4f;311;31e;5a68;
4b;312;31f;6014;
47;310;323;65b0;
43;30f;325;6b58;
40;312;325;70fc;
3c;312;328;76a0;
39;310;329;7c44;
37;30f;32d;81ec;
33;314;32e;8790;
2f;311;32f;8d34;
2d;313;332;92d8;
2a;316;331;9880;
28;318;335;9e24;
26;319;336;a3c8;
23;319;33a;a96c;
22;31d;33c;af14;
20;31b;340;b4b8;
1e;320;33f;ba5c;
1d;31f;340;c008;
1b;323;346;c5a8;
1b;326;343;cb4c;
1a;328;345;d0f0;
1a;329;347;d694;
18;32b;34b;dc3c;
19;32d;34e;e1e0;
18;32e;34b;e784;
18;331;34b;ed28;
1a;32d;353;f2d0;
1a;331;350;f874;
1b;335;351;fe18;
1d;332;354;3bc;
1d;336;358;90c;
1f;333;354;e5c;
21;336;356;13ac;
24;333;358;1954;
24;335;359;1ef8;
27;335;359;249c;
29;335;35a;2a40;
2c;336;35b;2fe8;
2f;335;35a;358c;
33;334;35e;3b30;
35;332;35b;40d4;
39;333;35e;467c;
3c;333;35e;4c20;
40;333;35d;51c4;
43;334;361;5768;
47;334;35f;5d10;
4b;332;360;62b4;
4f;331;360;6858;
54;331;35e;6dfc;
58;332;360;73a4;
5b;331;360;7948;
61;32e;35e;7eec;
64;331;35f;8490;
69;32d;35f;8a38;
6e;330;360;8fdc;
73;32e;35f;9580;
78;32d;360;9b24;
7c;32a;35e;a0cc;
80;327;35d;a670;
85;324;360;ac1c;
