;04;31a;b1f4;
29;333;349;a4c8;
2d;335;349;aa6c;
32;333;34e;b018;
36;334;34c;b5b4;
3c;335;34e;bb5c;
41;334;355;c100;
47;334;34f;c6a4;
4f;334;355;cc48;
55;32f;353;d1f0;
5c;330;354;d794;
62;330;353;dd38;
6b;32f;357;e2dc;
71;32e;355;e884;
79;32c;355;ee28;
81;329;357;f3cc;
87;323;353;f970;
8f;325;356;ff18;
96;320;355;4bc;
9d;320;357;a0c;
a4;31d;355;f5c;
aa;31e;355;14ac;
b1;317;356;1a50;
b7;315;352;1ff4;
bd;311;352;259c;
c3;310;353;2b40;
c8;30d;34d;30e4;
ce;310;34d;3688;
d2;30e;34e;3c30;
d5;30e;34a;41d4;
da;30c;349;4778;
dd;30f;34a;4d1c;
e0;30a;348;52c4;
e1;307;345;5868;
e4;307;344;5e0c;
e5;308;341;63b0;
e6;307;33e;6958;
e6;308;33d;6efc;
e5;307;33d;74a0;
e4;305;337;7a44;
e2;307;335;7fec;
e0;307;332;8590;
de;308;331;8b34;
da;306;32e;90d8;
d7;308;32a;9680;
d2;306;327;9c24;
cf;307;327;a1c8;
c9;306;324;a76c;
c5;304;322;ad14;
be;304;321;b2b8;
b8;306;31e;b85c;
b2;308;31d;be00;
ac;306;31e;c3a8;
a4;306;31b;c94c;
9e;308;319;cef0;
97;307;31d;d494;
8f;30a;31a;da3c;
88;305;31b;dfe0;
81;303;31a;e584;
79;308;31a;eb28;
71;306;31c;f0d0;
6b;307;31d;f674;
63;308;31d;fc20;
5d;307;31a;1bc;
56;308;31c;70c;
4f;307;31d;c5c;
4a;307;31e;11ac;
43;307;31d;1754;
3d;30c;31f;1cf8;
38;30a;321;229c;
33;30e;324;2840;
2e;312;324;2de8;
2a;312;32a;338c;
26;313;32a;3930;
23;316;32d;3ed4;
20;31d;330;447c;
1e;31c;32d;4a20;
1b;320;330;4fc4;
19;324;333;5568;
19;326;336;5b10;
19;328;337;60b4;
1a;32c;33b;6658;
1a;32e;33c;6bfc;
1b;32f;33e;71a4;
1d;330;345;7748;
1f;331;346;7cec;
23;334;341;8290;
25;331;347;8838;
29;334;348;8ddc;
2d;335;34b;9380;
33;333;34d;9924;
38;335;34b;9ecc;
3c;336;34f;a470;
43;334;34f;aa14;
49;333;352;afb8;
4f;330;353;b560;
57;335;355;bb04;
5d;330;354;c0a8;
64;330;353;c64c;
6b;32d;356;cbf4;
73;329;356;d198;
79;32a;355;d73c;
81;328;358;dce0;
89;329;356;e288;
90;323;356;e82c;
98;322;353;edd0;
9e;320;356;f374;
a5;320;356;f91c;
ad;31c;357;fec0;
b3;31a;353;464;
b9;314;353;9b4;
be;312;352;f04;
c3;313;353;1454;
c9;312;351;19f8;
ce;310;34f;1fa0;
d2;30d;34d;2544;
d6;30c;34d;2ae8;
db;30d;34c;308c;
dd;309;348;3634;
e0;308;345;3bd8;
e2;306;345;417c;
e4;306;344;4720;
e4;307;342;4cc8;
e5;307;33f;526c;
e6;307;338;5818;
e5;308;338;5db4;
e4;304;337;635c;
e2;305;335;6900;
e0;307;331;6ea4;
dd;307;32e;7448;
da;307;32c;79f0;
d6;307;32a;7f94;
d2;307;327;8538;
ce;306;326;8adc;
c9;309;325;9084;
c4;304;320;9628;
be;307;31f;9bcc;
b7;304;31d;a170;
b1;304;31e;a718;
ab;309;31c;acbc;
a3;304;31b;b260;
9d;305;31c;b80c;
96;307;319;bdac;
8f;306;31b;c350;
88;305;31d;c8f4;
80;305;317;ce98;
78;305;31a;d440;
71;302;319;d9e4;
6a;307;31c;df88;
63;306;319;e52c;
5c;305;31a;ead4;
55;308;31c;f078;
4e;306;31b;f61c;
47;305;31e;fbc0;
41;308;321;168;
3b;306;320;6b8;
37;30c;321;c0c;
32;30c;323;1158;
2d;30f;325;16fc;
28;312;326;1ca0;
26;315;329;2244;
22;317;32a;27ec;
1f;319;32c;2d90;
1d;31c;32f;3334;
1b;320;331;38d8;
1a;326;334;3e80;
19;326;335;4424;
19;32a;338;49c8;
18;32c;33b;4f6c;
1a;331;33d;5514;
1a;330;33f;5ab8;
1e;330;341;605c;
1f;333;344;6600;
23;334;345;6ba8;
26;336;347;714c;
2a;335;34c;76f0;
2e;336;34a;7c94;
33;335;34c;823c;
39;335;352;87e0;
3e;336;34d;8d84;
44;335;351;9328;
4a;333;352;98d0;
50;335;353;9e74;
57;32f;354;a420;
5e;330;354;a9bc;
65;32f;356;af64;
6c;32e;356;b508;
74;32b;357;baac;
7c;32c;356;c050;
82;328;357;c5f8;
8a;327;358;cb9c;
91;324;356;d140;
99;322;355;d6e4;
a0;31f;357;dc8c;
a6;31c;355;e230;
ae;316;356;e7d4;
b3;312;353;ed78;
ba;313;355;f320;
c0;312;354;f8c4;
c5;30f;353;fe68;
cb;30f;350;414;
d0;312;34e;95c;
d4;30d;34f;eac;
d8;30d;34e;13fc;
db;30d;349;19a4;
dd;30a;348;1f48;
df;30a;346;24ec;
e2;308;345;2a90;
e3;308;344;3038;
e3;307;33c;35dc;
e5;309;33e;3b80;
e5;30a;33c;4124;
e5;308;338;46cc;
e4;308;337;4c70;
e1;308;334;5214;
e0;305;331;57b8;
dd;307;32f;5d60;
da;30a;32d;6304;
d6;306;329;68a8;
d2;308;328;6e4c;
cc;307;325;73f4;
c9;309;322;7998;
c3;307;323;7f3c;
bd;305;321;84e0;
b7;307;31f;8a88;
b1;307;31e;902c;
aa;306;31d;95d0;
a2;306;317;9b74;
9b;307;31b;a11c;
95;308;31d;a6c0;
8d;306;319;ac64;
86;304;31b;b208;
7e;305;31a;b7b0;
77;305;31b;bd54;
6f;308;319;c2f8;
69;306;31b;c89c;
61;308;31a;ce44;
5a;308;31e;d3e8;
53;307;31d;d98c;
4d;308;31d;df30;
46;307;31f;e4d8;
41;30a;31f;ea7c;
3a;30c;31f;f020;
36;30f;323;f5c4;
30;311;324;fb6c;
2b;311;325;110;
28;311;328;660;
24;311;32c;bb0;
21;315;32d;1100;
1f;319;32d;16a4;
1d;31d;32f;1c48;
1a;321;331;21f0;
1a;321;333;2794;
19;325;336;2d38;
19;327;335;32dc;
19;329;33b;3884;
1a;32b;33c;3e28;
1b;32f;33f;43cc;
1e;330;342;4970;
20;32f;344;4f18;
23;333;345;54bc;
27;335;345;5a60;
2a;336;349;600c;
2f;336;34e;65ac;
33;334;34f;6b50;
39;333;351;70f4;
3f;335;353;7698;
45;334;351;7c40;
4b;331;352;81e4;
52;333;353;8788;
59;331;354;8d2c;
5f;330;353;92d4;
66;32f;359;9878;
6e;32a;357;9e1c;
75;32c;355;a3c0;
7c;329;355;a968;
84;326;356;af0c;
8b;326;356;b4b0;
91;323;354;ba54;
9a;31f;358;bffc;
a1;31e;355;c5a0;
a8;31b;353;cb44;
ae;317;358;d0e8;
b5;316;354;d690;
bb;314;353;dc34;
c1;313;354;e1d8;
c6;313;352;e77c;
cc;310;352;ed24;
d1;30f;352;f2c8;
d5;30b;350;f86c;
d8;30d;34b;fe10;
db;30a;34a;3b8;
de;30b;34a;908;
e1;308;343;e58;
e2;307;343;13a8;
e4;308;342;194c;
e5;308;33e;1ef0;
e6;306;33d;2494;
e5;306;33b;2a3c;
e4;307;336;2fe0;
e3;307;336;3584;
e2;309;332;3b28;
df;308;331;40d0;
dc;304;32d;4674;
d9;306;32a;4c20;
d5;308;327;51bc;
d0;302;325;5764;
cd;305;326;5d08;
c7;308;321;62ac;
c2;306;321;6850;
bb;303;31e;6df8;
b6;307;31d;739c;
af;304;31c;7940;
a8;302;31a;7ee4;
a1;308;31d;848c;
9b;308;319;8a30;
94;306;318;8fd4;
8c;30b;319;9578;
85;307;31a;9b20;
7d;305;31a;a0c4;
76;307;31b;a668;
6f;307;319;ac14;
68;306;31b;b1b4;
60;307;31b;b758;
58;304;31a;bcfc;
53;308;31e;c2a0;
4b;307;31d;c848;
46;307;31f;cdec;
40;309;31e;d390;
39;30c;321;d934;
34;30b;323;dedc;
31;30f;325;e480;
2b;312;325;ea24;
27;314;32b;efc8;
23;314;328;f570;
20;319;32b;fb14;
1e;31e;32c;b8;
1c;31e;32f;5b4;
1a;320;333;b04;
19;323;335;1054;
18;32a;333;15f8;
18;328;339;1b9c;
19;32d;339;2144;
1a;32e;33c;26e8;
1b;330;33d;2c8c;
1e;332;342;3230;
21;332;343;37d8;
23;330;346;3d7c;
27;333;348;4320;
2c;333;34a;48c4;
30;331;34c;4e6c;
34;335;34b;5414;
39;334;34d;59b4;
3f;334;351;5f58;
45;334;351;6500;
4c;334;351;6aa4;
52;332;357;7048;
59;332;356;75ec;
5f;330;357;7b94;
67;32f;352;8138;
6f;32b;355;86dc;
76;32d;357;8c80;
7d;32a;357;9228;
85;32c;356;97cc;
8b;327;359;9d70;
94;325;359;a314;
9b;322;355;a8bc;
a1;321;354;ae60;
a7;31b;358;b40c;
af;318;357;b9a8;
b5;316;355;bf50;
bc;312;354;c4f4;
c2;30e;354;ca98;
c7;30f;352;d03c;
cc;30c;352;d5e4;
d0;30b;34f;db88;
d5;30f;34a;e12c;
d9;30c;34b;e6d0;
db;309;34a;ec78;
de;30a;347;f21c;
e1;306;347;f7c0;
e3;309;344;fd64;
e4;308;344;30c;
e5;306;33f;85c;
e5;308;33b;dac;
e4;308;33b;12fc;
e4;30a;337;18a0;
e3;308;336;1e44;
e1;30b;335;23e8;
de;308;333;2990;
db;308;32e;2f34;
d8;306;328;34d8;
d4;306;32a;3a7c;
d0;308;326;4024;
cb;306;324;45c8;
c7;308;324;4b6c;
c2;307;322;5110;
bc;307;31d;56b8;
b5;303;31e;5c5c;
ae;306;31e;6200;
a8;307;318;67a4;
a2;305;31a;6d4c;
9a;306;31b;72f0;
92;306;31b;7894;
8b;308;31b;7e38;
84;305;31b;83e0;
7c;304;319;8984;
75;30a;31a;8f28;
6e;306;31c;94cc;
66;307;31c;9a74;
60;306;31a;a01c;
58;306;319;a5bc;
52;30a;31b;ab60;
4b;308;31c;b108;
45;308;31f;b6ac;
3f;30c;31f;bc50;
3a;309;322;c1f4;
34;30b;322;c79c;
2f;30e;322;cd40;
2b;310;327;d2e4;
26;313;32a;d888;
23;316;329;de30;
20;319;32d;e3d4;
1e;31c;32e;e978;
1b;320;334;ef1c;
1a;320;334;f4c4;
1a;325;336;fa68;
19;327;337;14;
19;32a;337;508;
18;32a;33b;a58;
1a;32c;33f;fa8;
1b;334;33e;14f8;
1d;32f;342;1a9c;
21;333;346;2040;
23;333;345;25e8;
27;333;348;2b8c;
2b;335;349;3130;
30;336;349;36d4;
34;333;34c;3c7c;
3a;334;34e;4220;
3f;337;353;47c4;
46;335;351;4d68;
4c;335;356;5310;
52;332;352;58b4;
59;331;358;5e58;
60;331;355;63fc;
67;332;357;69a4;
6f;32d;356;6f48;
76;32b;356;74ec;
7e;32c;353;7a90;
85;327;357;8038;
8c;329;356;85dc;
94;326;355;8b80;
9b;31f;358;9124;
a2;31c;354;96cc;
a8;31a;356;9c70;
b0;31c;355;a214;
b5;312;354;a7b8;
bc;313;351;ad60;
c2;310;351;b304;
c7;312;34e;b8a8;
cd;312;34f;be4c;
d1;30c;350;c3f4;
d6;30c;34c;c998;
d9;30c;34c;cf3c;
dc;30e;347;d4e0;
e0;309;34a;da88;
e1;309;343;e02c;
e3;308;345;e5d0;
e4;308;341;eb74;
e4;303;340;f11c;
e6;306;33d;f6c0;
e6;308;33a;fc64;
e4;305;335;208;
e3;306;335;758;
e2;307;334;ca8;
de;307;331;11f8;
db;305;330;17a0;
d7;305;32b;1d44;
d5;308;32a;22e8;
d1;305;327;288c;
cb;305;322;2e34;
c7;305;322;33d8;
c1;307;320;397c;
bc;306;321;3f20;
b5;306;31d;44c8;
ae;305;31d;4a6c;
a8;305;31b;5018;
a0;305;31a;55b4;
9a;304;31b;5b5c;
92;303;319;6100;
8b;305;318;66a4;
83;306;317;6c48;
7d;306;31a;71f0;
74;305;31a;7794;
6e;305;319;7d38;
66;306;31c;82dc;
5f;306;31b;8884;
58;304;31e;8e28;
52;305;31d;93cc;
4b;306;31f;9970;
44;303;31d;9f18;
3f;30b;31f;a4bc;
38;30c;31f;aa60;
34;30c;326;b00c;
2e;310;325;b5ac;
2b;30e;327;bb50;
27;310;329;c0f4;
23;318;32a;c698;
20;31b;32c;cc40;
1e;31d;330;d1e4;
1c;31f;331;d788;
1a;322;333;dd2c;
1a;325;334;e2d4;
18;329;338;e878;
18;32e;337;ee1c;
18;32f;33f;f3c0;
1b;331;340;f968;
1d;331;341;ff0c;
1f;334;342;4b0;
21;332;345;a00;
25;333;346;f50;
27;334;348;14a0;
2c;333;34d;1a44;
30;335;34c;1fec;
35;336;34f;2590;
3b;334;34e;2b34;
40;337;350;30d8;
46;335;352;3680;
4c;333;354;3c24;
53;337;353;41c8;
5b;330;355;476c;
61;333;354;4d14;
69;32f;354;52b8;
70;32b;357;585c;
78;32b;355;5e00;
7e;328;355;63a8;
86;325;357;694c;
8c;322;358;6ef0;
94;321;356;7494;
9c;31f;356;7a3c;
a3;31a;355;7fe0;
aa;318;353;8584;
b1;317;355;8b28;
b6;315;356;90d0;
bd;314;351;9674;
c2;310;352;9c20;
c8;316;352;a1bc;
cd;30e;351;a764;
d2;30f;350;ad08;
d6;30d;34d;b2ac;
da;30e;34c;b850;
dd;30c;34b;bdf8;
e0;30c;349;c39c;
e1;30b;348;c940;
e4;309;343;cee4;
e3;306;340;d48c;
e4;306;33d;da30;
e5;307;33d;dfd4;
e4;306;33a;e578;
e4;307;336;eb20;
e1;305;336;f0c4;
e0;303;333;f668;
de;307;330;fc14;
db;303;330;1b4;
d6;306;32b;704;
d4;307;329;c54;
cf;301;32a;11a4;
cb;306;326;1748;
c6;306;325;1cec;
c0;306;321;2290;
bb;308;31e;2838;
b3;306;31d;2ddc;
ae;308;31c;3380;
a7;306;31b;3924;
a0;305;31b;3ecc;
99;305;319;4470;
91;305;319;4a14;
8a;307;319;4fb8;
81;304;317;5560;
7b;305;319;5b04;
74;30a;31a;60a8;
6d;303;31b;664c;
65;306;318;6bf4;
5e;30b;31a;7198;
57;305;31c;773c;
51;305;31e;7ce0;
49;306;31d;8288;
44;303;322;882c;
3e;309;320;8dd0;
37;30c;31f;9374;
34;30c;326;991c;
2f;30e;328;9ec0;
29;312;329;a464;
26;313;329;aa08;
23;316;32e;afb0;
1f;31a;32d;b554;
1d;31e;32e;baf8;
1b;322;330;c09c;
1a;324;333;c644;
19;324;334;cbe8;
19;327;338;d18c;
18;32d;339;d730;
19;32c;33c;dcd8;
1b;330;341;e27c;
1d;330;33e;e820;
1f;331;343;edc4;
22;333;344;f36c;
25;334;345;f910;
29;335;349;feb4;
2e;333;34c;458;
31;336;34d;9a8;
36;336;350;ef8;
3b;333;34f;1448;
41;336;350;19f0;
48;333;34f;1f94;
4e;332;353;2538;
55;332;352;2adc;
5c;330;355;3084;
63;32d;358;3628;
6a;32e;355;3bcc;
71;32c;359;4170;
78;32b;355;4718;
7f;329;355;4cbc;
87;325;355;5260;
8e;324;356;580c;
94;324;357;5dac;
9d;31f;357;6350;
a5;31f;355;68f4;
aa;319;355;6e98;
b1;316;356;7440;
b7;314;354;79e4;
be;312;350;7f88;
c4;311;351;852c;
c9;30d;351;8ad4;
ce;30d;34d;9078;
d3;30d;34e;961c;
d7;30c;34e;9bc0;
da;30a;349;a168;
dd;30a;349;a70c;
e0;306;349;acb0;
e2;307;344;b254;
e3;306;344;b7fc;
e5;306;33f;bda0;
e5;308;33b;c344;
e5;308;33c;c8e8;
e4;305;339;ce90;
e2;306;333;d434;
e2;307;334;d9d8;
e0;30d;332;df7c;
dd;308;330;e524;
da;308;32f;eac8;
d6;30b;32c;f06c;
d1;309;32b;f610;
cd;305;327;fbb8;
c9;309;323;15c;
c4;308;322;6ac;
bf;30a;31d;bfc;
b9;309;31f;114c;
b3;307;31c;16f0;
ad;307;31b;1c94;
a6;307;31c;223c;
9f;307;319;27e0;
97;305;31c;2d84;
90;306;31a;3328;
88;30a;319;38d0;
81;309;31c;3e74;
7a;308;31a;4420;
72;304;319;49bc;
6b;305;31c;4f64;
64;306;31c;5508;
5d;306;31b;5aac;
56;309;31b;6050;
50;307;31e;65f8;
48;30a;31d;6b9c;
43;30b;320;7140;
3d;30a;321;76e4;
37;30c;321;7c8c;
32;30c;322;8230;
2e;312;324;87d4;
29;312;328;8d78;
26;30f;32c;9320;
22;316;32c;98c4;
1e;318;32c;9e68;
1d;319;32e;a414;
1b;320;331;a9b4;
1a;326;333;af58;
18;324;335;b4fc;
18;325;338;baa0;
19;32c;33a;c048;
1a;32f;33e;c5ec;
1c;330;33f;cb90;
1d;331;33f;d134;
20;32f;344;d6dc;
22;332;346;dc80;
26;332;349;e224;
2a;334;34a;e7c8;
2e;335;34d;ed70;
33;337;351;f314;
37;335;34f;f8b8;
3d;333;352;fe5c;
43;334;352;408;
49;333;352;954;
50;331;356;ea4;
56;335;355;13f4;
5d;32d;353;1998;
64;32f;355;1f3c;
6b;32e;354;24e0;
72;32d;357;2a88;
79;32e;359;302c;
80;32a;355;35d0;
88;327;356;3b74;
90;323;358;411c;
97;321;357;46c0;
9e;31e;357;4c64;
a5;31d;356;5208;
ac;31b;359;57b0;
b2;318;352;5d54;
b9;314;357;62f8;
bf;312;353;689c;
c5;30f;351;6e44;
ca;30f;351;73e8;
cf;30f;350;798c;
d3;30c;34d;7f30;
d7;30c;34e;84d8;
da;30c;34b;8a7c;
de;30c;34b;9020;
e1;308;346;95c4;
e2;309;346;9b6c;
e4;308;341;a110;
e4;30b;340;a6b4;
e5;307;33d;ac58;
e5;305;33a;b200;
e4;308;339;b7a4;
e2;307;336;bd48;
e2;305;335;c2ec;
df;30a;331;c894;
dc;306;32f;ce38;
da;30a;32b;d3dc;
d7;303;327;d980;
d1;306;326;df28;
cd;302;325;e4cc;
c8;305;323;ea70;
c3;306;320;f01c;
bd;302;320;f5bc;
b7;303;31e;fb60;
b0;306;31c;104;
ab;306;31c;654;
a4;304;31b;ba4;
9e;306;31b;10f4;
97;304;319;1698;
8f;303;31c;1c40;
87;306;31a;21e4;
80;306;31e;2788;
78;305;31b;2d2c;
71;306;31b;32d4;
6a;306;31a;3878;
63;302;31a;3e1c;
5c;307;31a;43c0;
55;302;31c;4968;
4e;306;31d;4f0c;
48;307;31b;54b0;
42;306;31d;5a54;
3c;309;31f;5ffc;
36;30e;321;65a0;
32;30d;322;6b44;
2d;310;325;70e8;
28;314;328;7690;
25;314;32a;7c34;
21;318;32a;81d8;
1e;31c;331;877c;
1c;321;32e;8d24;
1b;320;333;92c8;
1a;325;335;986c;
19;328;337;9e10;
1a;329;338;a3b8;
19;32d;339;a95c;
1a;330;33d;af00;
1c;332;340;b4a4;
1c;330;343;ba4c;
20;330;346;bff0;
23;332;345;c594;
26;332;343;cb38;
2a;332;34a;d0e0;
2f;331;34b;d684;
34;334;34c;dc28;
39;332;34f;e1cc;
3f;335;34f;e774;
44;335;351;ed18;
4a;331;352;f2bc;
52;332;351;f860;
57;332;353;fe08;
60;330;355;3ac;
66;32f;358;8fc;
6d;32e;359;e4c;
74;32c;356;139c;
7b;32a;354;1940;
81;327;355;1ee4;
8a;323;355;248c;
91;326;359;2a30;
97;322;354;2fd4;
9f;320;357;3578;
a6;319;354;3b20;
ad;318;359;40c4;
b4;316;353;4668;
b9;312;351;4c14;
bf;312;353;51b4;
c6;310;353;5758;
cb;311;351;5cfc;
cf;30e;351;62a0;
d4;30d;34f;6848;
d7;30d;34d;6dec;
da;308;34c;7390;
df;30b;348;7934;
e0;30a;346;7edc;
e2;306;344;8480;
e4;309;345;8a24;
e4;307;340;8fc8;
e5;308;33a;9570;
e5;30a;339;9b14;
e4;306;339;a0b8;
e4;308;335;a65c;
e2;304;334;ac08;
df;306;330;b1a8;
dc;306;32d;b74c;
d9;306;32a;bcf0;
d6;305;327;c298;
d1;306;327;c83c;
cc;306;327;cde0;
c8;308;325;d384;
c2;308;320;d92c;
bc;306;31e;ded0;
b7;306;31f;e474;
af;30a;31c;ea18;
a9;307;31c;efc0;
a2;306;31c;f564;
9c;305;31a;fb08;
94;309;31c;ac;
8d;307;31b;5a8;
86;309;319;af8;
7f;307;31c;1048;
78;306;31d;15ec;
71;308;31a;1b94;
69;30a;31c;2138;
63;306;31b;26dc;
5b;308;31b;2c80;
55;304;31c;3228;
4e;30a;31a;37cc;
47;308;31c;3d70;
42;307;324;4314;
3c;308;323;48bc;
36;30c;322;4e60;
31;30a;323;540c;
2d;311;327;59a8;
28;30f;32b;5f50;
25;313;328;64f4;
21;317;32b;6a98;
1f;31b;32d;703c;
1c;31d;32e;75e4;
1a;322;331;7b88;
19;323;333;812c;
18;325;337;86d0;
18;32a;339;8c78;
18;32b;33c;921c;
1a;32e;33e;97c0;
1b;331;33f;9d64;
1e;331;343;a30c;
20;333;344;a8b0;
23;334;345;ae54;
27;334;347;b3f8;
2a;334;348;b9a0;
2e;336;34c;bf44;
34;334;34b;c4e8;
3a;333;350;ca8c;
3e;335;354;d034;
45;334;351;d5d8;
4b;336;354;db7c;
52;335;354;e120;
59;333;355;e6c8;
5f;331;355;ec6c;
67;332;355;f210;
6e;32d;35a;f7b4;
76;331;355;fd5c;
7d;32c;354;300;
84;328;358;850;
8b;325;355;da0;
91;323;358;12f0;
99;322;357;1894;
a0;31b;356;1e38;
a7;31c;355;23e0;
ae;316;353;2984;
b4;315;354;2f28;
ba;314;352;34cc;
c1;30b;356;3a74;
c6;310;350;401c;
ca;30e;351;45bc;
d0;30f;34f;4b60;
d4;30f;34f;5108;
d7;30c;34c;56ac;
db;30d;349;5c50;
df;30b;34b;61f4;
e0;308;348;679c;
e3;309;345;6d40;
e5;309;344;72e4;
e5;30a;33e;7888;
e6;309;33c;7e30;
e5;307;33c;83d4;
e5;308;339;8978;
e4;308;335;8f1c;
e1;308;333;94c4;
de;308;330;9a68;
dc;307;32e;a014;
d9;307;32d;a5b0;
d5;305;32b;ab58;
d1;306;326;b0fc;
cc;309;326;b6a0;
c7;308;324;bc44;
c1;309;320;c1ec;
bb;306;31f;c790;
b6;305;31a;cd34;
af;306;31f;d2d8;
a9;307;31d;d880;
a2;308;318;de24;
9a;308;31b;e3c8;
94;307;31a;e96c;
8c;308;319;ef14;
85;306;31b;f4b8;
7d;309;31a;fa5c;
76;30a;31d;8;
70;308;31a;4a8;
69;308;31b;9f8;
63;307;31b;f48;
5b;308;31e;1498;
55;307;31a;1a3c;
4d;307;31c;1fe0;
47;307;31d;2588;
41;30a;31f;2b2c;
3c;30a;321;30d0;
36;30d;322;3674;
31;30f;321;3c20;
2b;310;325;41c0;
29;312;328;4764;
25;314;32a;4d08;
22;316;32b;52b0;
1f;319;32c;5854;
1d;31f;32f;5df8;
1a;322;335;639c;
1a;323;335;6944;
18;327;335;6ee8;
19;32a;338;748c;
18;32c;33a;7a30;
1a;32e;340;7fd8;
1b;331;340;857c;
1d;334;341;8b20;
20;332;345;90c4;
23;333;347;966c;
26;331;346;9c14;
2b;334;348;a1b4;
2f;336;34b;a758;
35;332;34d;ad00;
3a;334;34f;b2a4;
3f;334;351;b848;
45;32f;34f;bdec;
4b;337;351;c394;
51;332;350;c938;
58;32f;354;cedc;
5f;331;355;d480;
67;32e;353;da28;
6e;32d;353;dfcc;
75;32a;358;e570;
7c;32a;358;eb14;
83;325;355;f0bc;
8b;325;358;f660;
92;323;356;fc0c;
9a;320;356;1a8;
a1;320;356;6f8;
a7;31b;356;c48;
ad;31a;356;1198;
b4;315;355;1740;
b9;314;352;1ce4;
c0;312;352;2288;
c5;315;352;282c;
ca;310;351;2dd4;
cf;30e;34f;3378;
d3;30d;34e;391c;
d8;30c;34c;3ec0;
dc;30b;34e;4468;
de;30a;349;4a0c;
e0;308;346;4fb0;
e3;309;345;5554;
e4;309;342;5afc;
e5;309;33e;60a0;
e6;307;33d;6644;
e5;306;33c;6be8;
e5;307;338;7190;
e4;307;334;7734;
e2;306;332;7cd8;
de;306;32f;827c;
dc;305;32e;8824;
d9;306;32d;8dc8;
d5;306;329;936c;
d0;307;327;9910;
cc;308;326;9eb8;
c5;306;321;a45c;
c1;305;320;aa00;
bc;306;320;afa4;
b6;308;31e;b54c;
b0;308;31b;baf0;
a9;305;31f;c094;
a2;308;319;c638;
9a;306;31d;cbe0;
94;307;318;d184;
8b;305;31a;d728;
85;304;31a;dccc;
7e;307;319;e274;
76;307;31a;e81c;
6f;306;31a;edbc;
68;305;31a;f360;
5f;308;319;f908;
59;305;31c;feac;
52;307;31b;450;
4c;309;31c;9a0;
45;309;31d;ef0;
40;309;320;1440;
3b;30a;31f;19e4;
35;30b;321;1f8c;
30;30d;324;2530;
2c;310;325;2ad4;
27;314;327;3078;
25;317;32c;3620;
21;318;32b;3bc4;
1e;31c;32f;4168;
1d;31d;32f;470c;
1a;321;331;4cb4;
19;321;337;5258;
18;328;335;57fc;
19;32c;33a;5da0;
19;32b;33b;6348;
1b;32d;33d;68ec;
1b;331;340;6e90;
1e;32f;342;7434;
20;332;344;79dc;
23;335;345;7f80;
28;331;348;8524;
2c;333;34b;8ac8;
2f;336;349;9070;
35;333;34e;9614;
3a;333;34e;9bb8;
40;334;350;a15c;
45;331;351;a704;
4c;333;353;aca8;
52;330;353;b24c;
59;32f;355;b7f0;
61;331;356;bd98;
67;32e;356;c33c;
6f;32c;357;c8e0;
77;32b;357;ce84;
7e;32c;359;d42c;
85;327;357;d9d0;
8c;326;356;df74;
93;327;354;e518;
9b;321;35a;eac0;
a2;320;355;f064;
a9;31d;354;f608;
b0;319;353;fbac;
b6;316;353;154;
bc;311;354;6a4;
c1;313;354;bf4;
c6;310;351;1144;
cb;310;350;16e8;
d0;30d;34f;1c8c;
d4;30d;34e;2230;
d7;30b;34c;27d8;
db;309;349;2d7c;
de;308;347;3320;
e1;309;345;38c4;
e3;308;342;3e6c;
e4;306;341;4414;
e4;306;33e;49b4;
e5;30a;33b;4f58;
e5;305;33a;5500;
e4;305;338;5aa4;
e3;307;337;6048;
e1;30a;334;65ec;
df;306;331;6b94;
dc;309;32e;7138;
d8;30b;32d;76dc;
d4;305;329;7c80;
d1;306;326;8228;
cb;307;323;87cc;
c6;305;321;8d70;
c1;309;322;9314;
bb;307;31d;98bc;
b5;306;320;9e60;
af;303;31c;a40c;
a6;303;31a;a9a8;
a0;305;319;af50;
99;303;31b;b4f4;
93;303;31a;ba98;
8b;305;319;c03c;
83;305;318;c5e4;
7c;306;31c;cb88;
75;306;31a;d12c;
6d;306;31b;d6d0;
66;303;31c;dc78;
5f;303;31b;e21c;
57;306;320;e7c0;
52;303;31d;ed64;
4b;306;321;f30c;
45;309;31e;f8b0;
3f;30a;31f;fe54;
39;30a;321;3f8;
34;30d;324;948;
30;30d;326;e98;
2b;30f;323;13e8;
27;312;329;1990;
24;317;329;1f34;
20;318;32d;24d8;
1f;31c;32d;2a7c;
1c;31f;330;3024;
19;324;330;35c8;
19;324;334;3b6c;
18;32b;337;4110;
19;32c;33b;46b8;
1a;32d;33c;4c5c;
1b;330;33e;5200;
1c;330;340;57a4;
1e;331;344;5d4c;
21;330;346;62f0;
25;333;344;6894;
28;334;347;6e38;
2c;334;34c;73e0;
31;336;34c;7984;
36;335;34b;7f28;
3a;332;34f;84cc;
41;336;354;8a74;
47;335;352;901c;
4d;335;354;95bc;
54;335;356;9b60;
5b;330;353;a108;
61;332;357;a6ac;
68;330;355;ac50;
70;32d;357;b1f4;
77;32c;355;b79c;
7f;329;355;bd40;
86;326;355;c2e4;
8e;323;355;c888;
95;323;356;ce30;
9c;31c;356;d3d4;
a3;31e;358;d978;
aa;31c;356;df1c;
b1;316;355;e4c4;
b7;313;356;ea68;
bd;313;355;f014;
c3;312;356;f5b0;
c7;30e;352;fb58;
cd;30d;34d;fc;
d1;30e;351;5f8;
d4;30b;34e;b48;
