d2f4;315;e700;
79;31f;357;45b4;
7a;31f;356;4b5c;
7c;31f;357;5100;
7d;31d;355;56a4;
7f;31b;354;5c48;
80;31b;351;61f0;
82;318;353;6794;
83;31a;352;6d38;
85;31a;350;72dc;
87;31c;352;7884;
88;319;34d;7e28;
89;316;34c;83cc;
8a;318;34d;8970;
8c;316;34c;8f14;
8d;317;34a;94bc;
8f;318;34a;9a60;
90;317;34c;a00c;
92;317;348;a5a8;
93;318;346;ab50;
95;317;345;b0f4;
96;317;345;b698;
98;317;346;bc3c;
9a;31a;343;c1e4;
9b;317;340;c788;
9c;317;343;cd2c;
9d;315;341;d2d0;
9f;318;341;d878;
a0;315;341;de1c;
a2;313;340;e3c0;
a2;314;33e;e964;
a4;313;33f;ef0c;
a6;311;33d;f4b0;
a7;30f;33f;fa54;
a9;311;33c;fffc;
aa;30e;339;5a0;
ab;30f;339;af0;
ac;30d;339;1040;
ae;30d;339;15e4;
ae;30a;338;1b88;
b1;30b;337;212c;
b1;30d;337;26d4;
b3;30a;337;2c78;
b5;30c;334;321c;
b6;308;335;37c0;
b8;30b;334;3d68;
b8;30a;334;430c;
b9;30a;336;48b0;
bb;30a;335;4e54;
bb;30a;330;53fc;
bd;30c;332;59a0;
bf;30b;32f;5f44;
bf;30e;330;64ec;
c0;30c;32f;6a90;
c2;30b;32f;7034;
c3;30c;32f;75d8;
c4;30a;32d;7b7c;
c5;30c;32c;8124;
c5;30a;32a;86c8;
c7;307;32d;8c6c;
c8;30a;32a;9210;
ca;30a;327;97b8;
ca;30a;327;9d5c;
cb;30a;328;a300;
cc;309;325;a8a4;
cd;30a;327;ae4c;
ce;309;326;b3f0;
cf;30b;322;b994;
cf;307;322;bf38;
d1;309;321;c4e0;
d1;307;321;ca84;
d2;30a;323;d028;
d3;308;31f;d5cc;
d4;309;31e;db74;
d5;309;31f;e118;
d5;308;31d;e6bc;
d6;309;31b;ec64;
d7;309;31c;f208;
d8;307;31a;f7ac;
d9;30c;31b;fd50;
d9;307;319;2f4;
da;309;319;844;
da;307;319;d94;
dc;309;317;12e4;
db;309;318;188c;
dd;309;317;1e30;
dd;309;319;23d4;
de;309;31a;2978;
dd;308;317;2f20;
df;308;317;34c4;
df;308;316;3a68;
df;306;316;4014;
e0;308;315;45b4;
e1;306;316;4b58;
e1;308;313;50fc;
e1;30b;316;56a0;
e2;308;318;5c48;
e3;308;313;61ec;
e3;305;314;6790;
e4;308;317;6d34;
e3;309;315;72dc;
e3;307;317;7880;
e4;30a;315;7e24;
e4;30a;317;83c8;
e4;307;316;8970;
e5;306;316;8f14;
e5;307;317;94b8;
e5;308;314;9a60;
e5;309;316;a008;
e5;305;313;a5a8;
e6;308;315;ab4c;
e6;30a;316;b0f4;
e6;308;316;b698;
e5;305;314;bc3c;
e5;307;316;c1e0;
e5;309;316;c784;
e4;308;317;cd2c;
e6;307;316;d2d0;
e5;307;315;d874;
e5;309;316;de18;
e6;305;317;e3c0;
e5;30a;317;e964;
e5;308;317;ef08;
e4;306;315;f4ac;
e4;309;315;fa54;
e4;306;316;fff8;
e4;30a;316;59c;
e3;307;315;aec;
e4;308;315;103c;
e3;307;313;15e0;
e3;303;315;1b88;
e2;309;318;212c;
e2;307;318;26d0;
e2;305;316;2c74;
e0;308;316;321c;
df;306;317;37c0;
e0;30a;316;3d64;
df;308;315;4308;
df;308;317;48b0;
df;30b;316;4e54;
dd;306;315;53f8;
dd;307;317;599c;
dc;309;314;5f44;
dc;308;317;64e8;
db;307;314;6a8c;
db;308;316;7030;
db;308;313;75d8;
da;307;315;7b7c;
d9;307;31a;8120;
d8;307;314;86c4;
d7;308;315;8c6c;
d7;305;315;9210;
d5;30a;316;97b4;
d4;306;314;9d58;
d4;306;316;a300;
d3;306;316;a8a4;
d2;308;318;ae48;
d1;307;316;b3ec;
d0;307;318;b994;
cf;306;318;bf38;
ce;305;319;c4dc;
ce;308;316;ca80;
cd;309;316;d028;
cb;309;319;d5cc;
cb;307;315;db70;
ca;307;317;e114;
c9;30b;316;e6bc;
c9;307;314;ec60;
c7;308;316;f204;
c6;307;316;f7a8;
c5;307;314;fd50;
c4;308;317;2f4;
c1;308;315;844;
c1;306;316;d94;
c0;307;314;12e4;
bf;306;316;1888;
be;307;315;1e2c;
be;305;316;23d4;
bc;307;317;2978;
bb;308;315;2f1c;
ba;306;318;34c0;
b8;309;316;3a68;
b7;307;317;4010;
b6;309;316;45b0;
b5;308;318;4b54;
b3;307;315;50fc;
b1;306;315;56a0;
b1;307;316;5c44;
ae;307;317;61e8;
ae;30a;317;6790;
ad;306;315;6d34;
ac;308;315;72d8;
aa;308;316;787c;
a9;307;315;7e24;
a7;306;314;83c8;
a6;308;317;896c;
a5;307;315;8f14;
a4;307;314;94b8;
a3;302;317;9a5c;
a0;309;315;a008;
9f;305;315;a5a4;
9e;308;317;ab4c;
9d;305;316;b0f0;
9a;306;314;b694;
9a;308;318;bc38;
98;307;317;c1e0;
95;306;313;c784;
95;308;315;cd28;
94;305;314;d2d0;
92;306;316;d874;
90;307;316;de18;
90;307;318;e3bc;
8e;308;314;e960;
8c;305;31a;ef08;
8b;306;317;f4ac;
8a;309;316;fa50;
88;305;318;fff4;
86;304;318;59c;
85;307;31a;aec;
83;306;318;103c;
81;308;319;15e0;
81;307;319;1b84;
7e;306;316;2128;
7e;308;31d;26d0;
7c;306;31c;2c74;
7b;308;31b;3218;
79;307;31c;37bc;
78;307;31d;3d64;
76;307;31d;4308;
74;306;31e;48ac;
74;306;31e;4e50;
71;308;31f;53f8;
71;309;324;599c;
6f;307;323;5f40;
6d;306;321;64e4;
6d;307;325;6a8c;
6b;306;326;7030;
69;306;324;75d4;
68;309;326;7b7c;
67;308;329;8120;
65;308;325;86c4;
63;308;325;8c68;
61;305;32c;920c;
5f;307;32b;97b4;
5f;308;329;9d58;
5e;307;32c;a2fc;
5c;30a;327;a8a0;
5a;308;32b;ae48;
5a;30b;32e;b3ec;
58;30a;32f;b990;
57;308;331;bf34;
56;307;32f;c4dc;
54;30a;330;ca80;
52;306;333;d024;
51;309;332;d5cc;
50;309;333;db70;
4f;309;334;e114;
4d;308;337;e6b8;
4c;306;335;ec5c;
4b;309;339;f204;
4a;30a;33a;f7a8;
48;30c;338;fd4c;
47;30b;33a;2f0;
46;30b;33b;844;
45;30d;33a;d94;
44;30d;33d;12e0;
42;30e;33e;1888;
41;312;341;1e2c;
3f;311;33f;23d0;
40;312;33e;2974;
3d;314;341;2f1c;
3c;318;341;34c0;
3c;317;340;3a64;
3a;315;342;4010;
38;319;343;45b0;
38;31a;343;4b54;
37;319;347;50f8;
36;31d;343;569c;
35;31d;345;5c44;
33;31d;347;61e8;
32;31e;346;678c;
31;31d;345;6d34;
31;323;347;72d8;
30;321;349;787c;
2f;31f;349;7e20;
2f;322;349;83c4;
2d;321;34c;896c;
2c;31e;34a;8f10;
2b;324;34b;94b4;
2b;321;34c;9a5c;
2a;321;34c;a004;
29;323;34d;a5a4;
29;321;34d;ab48;
27;323;34f;b0ec;
27;322;34d;b694;
26;321;34d;bc38;
25;321;34f;c1dc;
24;323;34d;c784;
23;322;34e;cd28;
24;321;34d;d2cc;
22;323;350;d870;
21;324;351;de14;
22;323;354;e3bc;
21;321;351;e960;
21;321;353;ef04;
20;323;354;f4a8;
1f;326;352;fa50;
1e;324;354;fff4;
1f;323;353;598;
1d;326;353;ae8;
1d;325;354;1038;
1d;326;356;15dc;
1c;326;355;1b84;
1c;327;355;2128;
1c;325;356;26cc;
1c;325;355;2c70;
1b;328;353;3218;
1b;328;357;37bc;
1a;328;356;3d60;
1a;328;356;4308;
1a;328;356;48ac;
1a;329;358;4e50;
19;32a;358;53f4;
19;329;357;5998;
18;329;359;5f40;
19;328;35a;64e4;
18;32b;357;6a88;
19;328;35a;702c;
19;32b;35a;75d4;
19;32b;357;7b78;
19;32a;359;811c;
18;32b;357;86c4;
18;329;357;8c68;
19;32a;35a;920c;
19;32a;35a;97b0;
19;329;35c;9d58;
19;329;35a;a2fc;
19;32a;359;a8a0;
19;328;35a;ae44;
1a;329;35d;b3e8;
19;329;359;b990;
1a;329;359;bf34;
1a;328;35a;c4d8;
1a;32a;359;ca7c;
1a;329;357;d024;
1b;329;358;d5c8;
1b;32b;359;db6c;
1c;329;35e;e110;
1c;328;35a;e6b8;
1b;327;35d;ec5c;
1d;329;35b;f200;
1e;328;358;f7a4;
1d;32b;359;fd4c;
1d;32a;35a;2f0;
1e;32a;359;840;
1f;329;35a;d90;
1f;329;359;12e0;
1f;329;35c;1884;
20;32b;35b;1e28;
21;329;357;23d0;
22;329;35c;2974;
22;328;359;2f18;
23;327;35b;34bc;
24;329;35b;3a64;
24;32b;35a;4010;
25;329;35b;45ac;
26;329;35a;4b50;
26;32e;35b;50f8;
27;32a;35c;569c;
29;329;359;5c40;
28;32a;357;61e4;
2a;32b;35b;678c;
2a;329;35b;6d30;
2b;32b;358;72d4;
2c;32c;35c;787c;
2c;32a;35c;7e20;
2e;329;359;83c4;
2f;32a;35d;8968;
2f;32b;35b;8f10;
30;327;359;94b4;
32;32c;35a;9a58;
32;329;35b;9ffc;
34;32a;35c;a5a0;
34;328;35b;ab48;
37;329;35a;b0ec;
37;32b;35b;b690;
38;32a;35b;bc38;
3a;327;35c;c1dc;
3a;327;35b;c780;
3b;329;35b;cd24;
3c;329;35d;d2c8;
3d;32a;35b;d870;
3f;328;35d;de14;
40;329;35a;e3b8;
41;32a;35b;e960;
43;32b;35f;ef04;
44;326;35a;f4a8;
45;327;35b;fa4c;
46;329;35b;fff0;
48;32b;35b;598;
48;329;359;ae8;
4a;32a;35a;1038;
4b;325;35d;15dc;
4b;328;35a;1b80;
4c;326;358;2124;
4f;329;35c;26cc;
50;329;35c;2c70;
51;326;359;3214;
52;327;35c;37bc;
53;32a;35a;3d60;
55;328;35a;4304;
56;329;358;48a8;
58;329;35e;4e4c;
59;328;359;53f4;
5a;327;35e;5998;
5c;326;35a;5f3c;
5d;329;35c;64e4;
5e;327;35d;6a88;
61;326;35c;702c;
61;329;357;75d0;
64;328;35b;7b78;
65;327;35a;811c;
66;329;35a;86c0;
68;327;35b;8c64;
69;327;359;9208;
6a;326;35b;97b0;
6c;324;35a;9d54;
6d;324;35c;a2f8;
6f;326;35d;a89c;
70;321;35c;ae44;
71;320;35a;b3e8;
73;322;359;b98c;
74;31f;35a;bf34;
77;320;358;c4d8;
77;320;355;ca7c;
79;31e;356;d020;
7a;31d;356;d5c8;
7c;31d;353;db6c;
7d;31c;356;e110;
80;31b;354;e6b4;
7f;31c;352;ec58;
82;31a;352;f200;
82;319;34e;f7a4;
85;31b;350;fd48;
87;318;34f;2ec;
88;319;34c;83c;
8a;319;34b;d8c;
8b;319;34d;12dc;
8c;31c;34a;1884;
8e;317;348;1e28;
90;319;34c;23cc;
91;316;34a;2970;
92;317;347;2f18;
93;318;349;34bc;
94;318;34a;3a60;
96;31b;349;400c;
98;317;345;45ac;
99;316;345;4b50;
9a;317;341;50f4;
9b;316;341;5698;
9d;314;33f;5c40;
9f;317;340;61e4;
a0;315;347;6788;
a1;317;33f;6d30;
a1;312;33f;72d4;
a4;317;33f;7878;
a6;313;33f;7e1c;
a8;312;33f;83c0;
a9;311;33c;8968;
aa;30e;33a;8f0c;
aa;30c;337;94b0;
ad;30d;339;9a54;
ae;30c;338;9ffc;
af;30b;332;a5a0;
b1;30b;33b;ab44;
b1;307;336;b0e8;
b3;30a;335;b690;
b5;309;336;bc34;
b6;309;336;c1d8;
b7;30c;332;c780;
b9;30a;336;cd24;
ba;307;334;d2c8;
bb;30a;333;d86c;
bc;309;333;de10;
bd;308;332;e3b8;
be;30a;32f;e95c;
be;30a;331;ef00;
c0;309;330;f4a4;
c2;30a;32e;fa4c;
c2;30a;32e;fff0;
c4;30c;32e;594;
c5;30a;32d;ae4;
c5;307;32a;1034;
c7;308;32a;15d8;
c8;30c;32a;1b80;
c9;30a;328;2124;
ca;307;328;26c8;
cb;308;326;2c6c;
cb;30c;325;3214;
cc;309;325;37b8;
ce;309;324;3d5c;
ce;309;323;4304;
d0;30a;321;48a8;
d0;309;321;4e4c;
d1;308;322;53f0;
d3;30a;320;5994;
d3;30a;31e;5f3c;
d3;307;31b;64e0;
d5;30a;321;6a84;
d5;308;31d;7028;
d6;309;31a;75d0;
d8;307;31d;7b74;
d9;309;31b;8118;
d9;307;318;86bc;
da;306;31b;8c64;
da;309;31a;9208;
db;309;317;97ac;
dc;308;318;9d54;
db;307;318;a2f8;
dc;30b;317;a89c;
dd;307;316;ae40;
df;308;318;b3e4;
de;309;319;b98c;
e0;308;318;bf30;
df;30b;319;c4d4;
e0;30a;318;ca78;
e1;307;317;d020;
e0;307;317;d5c4;
e2;308;317;db68;
e2;309;316;e10c;
e1;308;316;e6b4;
e2;309;315;ec58;
e2;308;315;f1fc;
e3;309;316;f7a4;
e3;308;316;fd48;
e4;309;315;2ec;
e3;306;319;83c;
e3;305;314;d8c;
e4;30b;317;12dc;
e5;307;317;1880;
e5;309;316;1e24;
e5;308;316;23cc;
e5;308;318;2970;
e5;309;314;2f14;
e5;306;318;34bc;
e6;307;316;3a60;
e5;309;314;400c;
e6;308;318;45a8;
e6;30a;317;4b4c;
e5;307;316;50f4;
e5;309;315;5698;
e5;307;316;5c3c;
e6;309;317;61e0;
e4;306;316;6788;
e5;307;317;6d2c;
e5;30b;316;72d0;
e4;309;314;7874;
e4;309;317;7e1c;
e4;307;314;83c0;
e3;308;319;8964;
e4;309;318;8f08;
e3;305;317;94b0;
e3;309;317;9a54;
e1;305;317;9ff8;
e1;305;313;a5a0;
e3;30b;317;ab44;
e1;307;315;b0e8;
e2;307;316;b68c;
e1;308;315;bc30;
e0;305;315;c1d8;
df;307;315;c77c;
df;308;317;cd20;
df;307;317;d2c8;
de;309;316;d86c;
dd;307;316;de10;
dd;306;315;e3b4;
dd;309;315;e958;
dc;305;315;ef00;
dc;305;317;f4a4;
db;308;31b;fa48;
db;307;316;ffec;
d9;30a;314;594;
d9;307;316;ae4;
d8;309;315;1034;
d7;30a;316;15d8;
d7;303;314;1b7c;
d5;307;315;2120;
d5;308;315;26c8;
d4;306;316;2c6c;
d4;306;318;3210;
d3;308;317;37b4;
d1;309;315;3d5c;
d0;305;314;4300;
d0;308;316;48a4;
cf;303;316;4e48;
ce;306;314;53f0;
cd;307;317;5994;
cb;307;315;5f38;
ca;308;318;64dc;
cb;309;315;6a84;
ca;307;317;7028;
c9;308;316;75cc;
c8;307;316;7b74;
c6;308;316;8118;
c5;307;317;86bc;
c4;30a;315;8c60;
c3;308;317;9204;
c1;307;316;97ac;
c1;30a;316;9d50;
bf;306;316;a2f4;
bd;30a;315;a898;
bd;308;316;ae40;
bc;306;316;b3e4;
bb;309;313;b988;
b9;306;316;bf30;
b7;307;315;c4d4;
b7;308;316;ca78;
b6;308;315;d020;
b5;308;318;d5c0;
b4;307;314;db68;
b2;305;316;e10c;
af;303;318;e6b0;
af;307;315;ec54;
af;305;317;f1fc;
ac;306;316;f7a0;
aa;307;315;fd44;
aa;307;316;2e8;
a8;309;317;838;
a8;309;316;d8c;
a6;30a;319;12d8;
a5;306;315;1880;
a2;309;318;1e24;
a1;308;317;23c8;
a0;307;314;296c;
9f;305;317;2f14;
9e;308;315;34b8;
9d;307;317;3a5c;
9b;308;317;4008;
9a;308;316;45a8;
99;308;316;4b4c;
97;30a;315;50f0;
95;308;317;5694;
93;30a;316;5c3c;
92;307;314;61e0;
91;308;315;6784;
90;304;316;6d28;
8e;307;317;72d0;
8c;305;317;7874;
8a;306;316;7e18;
89;307;317;83bc;
88;308;317;8964;
86;307;317;8f08;
85;307;318;94ac;
84;308;317;9a50;
81;306;318;9ff8;
80;308;31c;a59c;
7f;309;317;ab40;
7e;308;31c;b0e8;
7c;308;319;b68c;
7b;308;31d;bc30;
79;307;31d;c1d4;
78;309;31c;c778;
76;306;321;cd20;
75;307;31d;d2c4;
74;306;31d;d868;
71;307;321;de0c;
70;308;31d;e3b4;
6f;306;321;e958;
6d;30a;323;eefc;
6c;307;321;f4a0;
6a;30c;324;fa48;
69;306;325;ffec;
68;306;327;590;
66;308;327;ae0;
65;305;325;1030;
63;308;32b;15d4;
62;307;329;1b7c;
60;30a;329;2120;
5f;305;32b;26c4;
5e;307;32d;2c68;
5c;307;32b;3210;
5b;307;32d;37b4;
59;306;32d;3d58;
58;309;32f;42fc;
57;308;334;48a4;
55;305;32f;4e48;
53;308;331;53ec;
53;309;334;5990;
52;309;334;5f38;
4f;30a;334;64dc;
4f;30a;335;6a80;
4e;309;337;7024;
4c;309;338;75cc;
4b;30c;337;7b70;
4a;308;338;8114;
48;30c;33d;86b8;
47;30f;33f;8c60;
46;30b;33c;9204;
45;30f;33c;97a8;
43;30f;33d;9d50;
43;310;33d;a2f4;
41;310;33d;a898;
3f;30f;33f;ae3c;
3f;313;33f;b3e0;
3d;316;33f;b988;
3c;316;342;bf2c;
3b;317;341;c4d0;
3a;31a;33f;ca74;
38;318;342;d020;
38;31b;344;d5c0;
37;31d;343;db64;
35;321;341;e108;
35;321;346;e6b0;
34;320;349;ec54;
33;320;345;f1f8;
32;320;348;f79c;
30;320;34b;fd44;
30;321;347;2e8;
2f;322;349;838;
2e;321;34b;d88;
2d;31f;34b;12d8;
2c;320;34c;187c;
2c;321;34d;1e20;
2a;322;34c;23c8;
2a;321;34d;296c;
29;322;34e;2f10;
28;324;350;34b8;
28;320;34e;3a5c;
26;320;34e;4008;
26;31f;34d;45a4;
26;31f;34e;4b48;
24;322;34d;50f0;
23;321;34f;5694;
23;322;34f;5c38;
23;31e;350;61e0;
22;323;355;6784;
21;322;353;6d28;
21;323;351;72cc;
20;323;351;7870;
20;323;353;7e18;
1f;322;353;83bc;
1f;325;352;8960;
1e;324;353;8f04;
1d;324;355;94ac;
1d;328;356;9a50;
1d;325;358;9ff4;
1c;327;355;a598;
1b;327;353;ab40;
1c;325;358;b0e4;
1c;32b;354;b688;
1b;328;359;bc2c;
1a;329;358;c1d4;
1a;32a;356;c778;
1a;326;356;cd1c;
19;326;358;d2c4;
19;32a;358;d868;
19;329;35a;de0c;
19;32a;357;e3b0;
19;32b;358;e954;
19;329;359;eefc;
19;32a;35a;f4a0;
19;32a;357;fa44;
19;328;359;ffe8;
19;329;35a;590;
19;329;35a;ae0;
18;327;358;1030;
19;32b;35a;15d4;
19;329;35c;1b78;
19;32b;359;211c;
18;32b;35a;26c4;
18;32b;359;2c68;
19;32a;359;320c;
18;32d;35a;37b0;
1a;32b;359;3d58;
19;32a;35a;42fc;
1a;329;35b;48a0;
1a;329;35a;4e44;
1b;32a;359;53ec;
1a;32a;359;5990;
1b;32b;359;5f34;
1c;32b;35a;64d8;
1b;32c;359;6a80;
1d;32a;359;7024;
1c;32b;359;75c8;
1d;32a;35b;7b70;
1d;329;359;8114;
1d;32b;359;86b8;
1e;32b;35b;8c5c;
1e;32e;359;9204;
1f;32b;359;97a8;
20;32a;359;9d4c;
20;327;35b;a2f0;
21;32c;359;a898;
22;32a;35c;ae3c;
22;32a;35a;b3e0;
23;32b;35a;b984;
22;32a;356;bf28;
24;328;35a;c4d0;
25;32b;359;ca74;
26;32b;35a;d020;
26;32b;358;d5bc;
27;32b;358;db64;
27;32b;357;e108;
29;32b;35a;e6ac;
29;32c;356;ec50;
2a;32c;35b;f1f8;
2b;329;35b;f79c;
2c;32c;359;fd40;
2d;32c;35b;2e4;
2d;32e;359;834;
2e;32a;35a;d84;
30;32c;35c;12d8;
2f;32a;35c;187c;
31;32b;359;1e20;
32;328;35b;23c4;
32;32c;35b;2968;
34;32c;35a;2f10;
35;32a;35c;34b4;
36;329;35c;3a58;
37;329;35a;3ffc;
38;32a;35a;45a4;
39;32b;35c;4b48;
3a;32a;359;50ec;
3c;32a;359;5694;
3d;32b;35a;5c38;
3d;326;35a;61dc;
3e;32d;35a;6780;
40;329;35a;6d28;
41;32a;35a;72cc;
42;328;359;7870;
44;32a;35c;7e14;
45;32b;35b;83b8;
46;32c;35d;8960;
47;326;35c;8f04;
48;329;35b;94a8;
4a;326;35c;9a50;
4b;329;35c;9ff4;
4d;328;359;a598;
4e;32b;35c;ab3c;
4e;328;35b;b0e0;
50;329;35b;b688;
52;324;35c;bc2c;
52;325;357;c1d0;
54;328;359;c778;
56;328;35c;cd1c;
57;328;35b;d2c0;
58;328;35b;d864;
59;328;35a;de08;
5b;326;35e;e3b0;
5c;328;35a;e954;
5e;328;35b;eef8;
5f;329;35e;f49c;
61;328;35b;fa44;
61;328;35f;ffe8;
63;326;35a;58c;
65;327;35b;adc;
65;325;35a;102c;
68;328;35b;15d0;
69;323;35a;1b78;
6a;327;35b;211c;
6b;325;35a;26c0;
6d;322;35a;2c64;
6f;324;35b;320c;
70;322;35d;37b0;
72;323;358;3d54;
73;324;359;42f8;
74;321;35b;48a0;
76;31f;35a;4e44;
78;320;354;53e8;
7a;321;357;598c;
7b;31d;359;5f34;
7c;31c;356;64d8;
7e;31d;355;6a7c;
7f;31a;354;7020;
80;31b;351;75c8;
82;31b;355;7b6c;
84;318;350;8110;
85;318;350;86b4;
87;315;34e;8c5c;
88;316;34f;9200;
8a;316;34d;97a4;
8a;318;34c;9d48;
8b;317;34c;a2f0;
8e;317;348;a894;
8f;317;349;ae38;
91;31a;34c;b3e0;
92;317;346;b984;
93;318;349;bf28;
95;31b;346;c4cc;
96;319;345;ca74;
98;317;345;d01c;
9a;318;344;d5bc;
9b;317;341;db60;
9b;316;342;e104;
9e;319;342;e6ac;
9f;314;33d;ec50;
a1;315;340;f1f4;
a2;316;33f;f798;
a4;317;33c;fd40;
a6;313;33d;2e4;
a6;314;339;834;
a8;311;33a;d84;
a9;311;33c;12d4;
aa;310;33c;1878;
ab;30d;339;1e20;
ad;30e;33b;23c4;
af;307;339;2968;
b0;30a;336;2f0c;
b0;306;337;34b0;
b2;30a;338;3a58;
b3;309;336;3ffc;
b5;30a;339;45a0;
b6;30a;335;4b44;
b5;30b;333;50ec;
b8;30a;336;5690;
ba;309;333;5c34;
ba;308;334;61d8;
bb;30a;333;6780;
bd;309;332;6d24;
bf;30c;331;72c8;
bf;30b;331;786c;
c0;30a;330;7e14;
c1;30e;32d;83b8;
c3;30b;32c;895c;
c3;30a;32c;8f00;
c5;309;32b;94a8;
c7;30b;32a;9a4c;
c8;308;32a;9ff0;
c7;30a;329;a598;
ca;30a;327;ab3c;
ca;309;328;b0e0;
cb;309;325;b684;
cc;30a;328;bc28;
ce;309;328;c1d0;
ce;30a;322;c774;
cf;30a;326;cd18;
d0;30a;323;d2c0;
d0;30b;322;d864;
d2;308;321;de08;
d2;308;320;e3ac;
d3;309;320;e950;
d4;30d;320;eef8;
d6;308;31d;f49c;
d6;30a;31d;fa40;
d6;308;31c;ffe4;
d7;307;31c;58c;
d9;309;31c;adc;
d7;309;31b;102c;
d9;309;31b;15d0;
da;309;31b;1b74;
da;30c;31d;211c;
db;308;318;26c0;
db;307;316;2c64;
dd;308;318;3208;
dd;30a;318;37ac;
de;30a;317;3d54;
de;30b;315;42f8;
df;309;317;489c;
df;306;317;4e40;
e0;306;314;53e8;
e0;309;31a;598c;
df;307;313;5f30;
e1;308;315;64d8;
e2;307;314;6a7c;
e2;305;315;7020;
e3;309;316;75c4;
e3;305;314;7b6c;
e2;306;316;8110;
e3;308;314;86b4;
e3;306;316;8c58;
e3;306;314;91fc;
e4;308;315;97a4;
e4;308;315;9d48;
e3;307;315;a2ec;
e4;307;317;a890;
e4;304;315;ae38;
e5;307;316;b3dc;
e5;30b;314;b980;
e5;308;316;bf28;
e5;308;315;c4cc;
e6;306;312;ca70;
e5;307;316;d01c;
e5;307;314;d5bc;
e5;307;314;db60;
e4;306;316;e104;
e4;306;317;e6a8;
e5;308;314;ec50;
e5;308;316;f1f4;
e5;306;316;f798;
e5;309;316;fd3c;
e5;309;316;2e0;
e5;306;313;830;
e4;307;316;d80;
e3;308;316;12d0;
e3;306;318;1878;
e2;306;314;1e1c;
e1;306;316;23c0;
e3;306;318;2964;
e2;309;313;2f0c;
e2;308;315;34b0;
e2;30a;315;3a54;
e0;306;315;3ff8;
e1;307;314;45a0;
e1;309;316;4b44;
e0;308;315;50e8;
df;307;315;568c;
df;309;316;5c34;
df;308;314;61d8;
dd;309;317;677c;
dd;308;315;6d20;
dc;306;314;72c8;
dd;309;319;786c;
db;308;317;7e10;
da;307;313;83b4;
da;309;316;895c;
d9;306;316;8f00;
d9;308;315;94a4;
d8;307;314;9a48;
d7;307;316;9ff0;
d7;306;317;a594;
d5;308;318;ab38;
d4;308;315;b0e0;
d3;308;313;b684;
d2;306;317;bc28;
d3;306;316;c1cc;
d0;306;314;c770;
d0;307;315;cd18;
d0;30a;316;d2bc;
cf;306;317;d860;
ce;309;316;de04;
cd;309;316;e3ac;
cc;307;318;e950;
cb;307;316;eef4;
ca;308;313;f498;
c9;30a;314;fa40;
c9;307;317;ffe4;
c7;305;315;588;
c6;308;315;ad8;
c4;309;317;1028;
c3;308;317;15cc;
c3;30a;315;1b74;
c2;306;314;2118;
c0;306;316;26bc;
bf;307;315;2c60;
be;308;312;3208;
bd;308;316;37ac;
bb;305;317;3d50;
ba;307;313;42f4;
b9;306;318;489c;
b8;307;318;4e40;
b6;307;313;53e4;
b6;308;317;5988;
b5;307;316;5f30;
b3;308;315;64d4;
b1;307;316;6a78;
b0;307;316;7020;
af;306;315;75c4;
ad;307;317;7b68;
ad;308;316;810c;
aa;307;316;86b4;
a9;305;316;8c58;
a9;308;317;91fc;
a8;308;315;97a0;
a6;306;315;9d44;
a4;306;315;a2ec;
a3;309;315;a890;
a2;308;316;ae34;
a0;309;316;b3dc;
9f;309;314;b980;
9e;304;315;bf24;
9c;305;315;c4c8;
9b;309;317;ca70;
9a;308;317;d018;
98;307;316;d5b8;
96;306;314;db5c;
94;307;313;e100;
93;306;316;e6a8;
92;307;315;ec4c;
91;306;317;f1f0;
8f;307;317;f794;
8c;307;317;fd3c;
8c;306;316;2e0;
8b;308;317;830;
89;306;318;d80;
88;308;317;12d0;
87;304;319;1874;
85;308;319;1e18;
82;307;31b;23c0;
82;307;318;2964;
81;307;318;2f08;
7f;307;319;34ac;
7e;309;31b;3a54;
7b;306;319;3ff8;
7b;308;31b;459c;
79;306;319;4b40;
78;306;31d;50e8;
76;306;31e;568c;
74;305;31d;5c30;
73;308;31d;61d4;
72;308;321;677c;
70;307;320;6d20;
6f;30a;320;72c4;
6d;307;324;7868;
6c;307;325;7e10;
6a;306;323;83b4;
68;308;323;8958;
67;307;328;8efc;
65;308;325;94a4;
64;308;327;9a48;
64;308;328;9fec;
61;308;327;a590;
60;307;329;ab38;
5f;307;32c;b0dc;
5d;309;32b;b680;
5c;308;32d;bc24;
5b;306;32e;c1cc;
59;307;32e;c770;
57;305;32f;cd14;
57;308;330;d2b8;
55;308;330;d860;
53;307;332;de04;
53;30a;332;e3a8;
51;30a;331;e94c;
50;309;335;eef4;
4f;30b;334;f498;
4d;30d;336;fa3c;
4c;30a;338;ffe4;
4b;30c;336;588;
49;30c;33b;ad8;
49;310;339;1028;
47;30c;33b;15cc;
46;30d;33c;1b70;
43;30c;337;2114;
43;310;33c;26bc;
42;310;33c;2c60;
40;30f;33b;3204;
3f;311;33e;37a8;
3f;313;33f;3d50;
3d;315;33f;42f4;
3b;317;33f;4898;
3c;318;342;4e3c;
3b;318;341;53e4;
39;319;341;5988;
38;31b;343;5f2c;
37;31d;345;64d0;
36;31d;345;6a78;
35;31e;346;7020;
33;320;345;75c0;
32;321;349;7b64;
32;31f;348;810c;
31;322;346;86b0;
30;31e;34a;8c54;
2f;321;347;91f8;
2e;322;349;97a0;
2e;320;34c;9d44;
2d;320;34c;a2e8;
2b;320;34b;a88c;
