d2f4;315;e700;
3e;329;359;3048;
40;328;35a;35ec;
40;32a;359;3b90;
42;32a;35a;4134;
43;328;35c;46dc;
44;328;35c;4c80;
45;327;359;5224;
47;328;359;57c8;
48;326;35b;5d70;
49;327;359;6314;
4a;328;35a;68b8;
4c;32b;359;6e5c;
4d;328;359;7408;
4e;327;357;79a8;
50;326;35a;7f4c;
51;328;35c;84f4;
53;328;35b;8a98;
54;326;359;903c;
55;326;358;95e0;
56;327;35b;9b84;
58;326;35a;a12c;
5a;327;359;a6d0;
5b;324;35b;ac74;
5c;325;35c;b218;
5d;327;35b;b7c0;
5f;327;35c;bd64;
61;323;35a;c308;
61;327;359;c8b0;
64;325;35d;ce54;
64;323;357;d3f8;
66;326;35a;d99c;
67;326;35a;df40;
69;323;35a;e4e8;
6a;324;359;ea8c;
6a;325;35a;f030;
6d;326;35c;f5d4;
6f;324;35b;fb7c;
6f;321;35b;120;
71;325;359;670;
73;323;35a;bc0;
74;323;35b;1110;
76;322;358;16b4;
77;325;357;1c58;
78;323;358;2200;
7a;323;357;27a4;
7c;326;355;2d48;
7e;323;357;32ec;
7f;323;355;3894;
80;323;355;3e38;
82;323;353;43dc;
82;323;352;4984;
85;321;351;4f28;
86;320;352;54cc;
88;31b;351;5a70;
89;320;354;601c;
8b;31d;34f;65bc;
8c;31b;34e;6b60;
8e;31c;34c;7104;
8f;31a;34c;76a8;
90;319;34c;7c50;
92;318;348;81f4;
93;318;34a;8798;
95;315;348;8d3c;
95;316;342;92e4;
98;315;346;9888;
99;314;345;9e2c;
9a;314;344;a3d0;
9c;315;342;a978;
9e;315;344;af1c;
9f;314;340;b4c0;
a1;315;33f;ba64;
a1;315;33f;c010;
a3;315;33c;c5b0;
a4;311;33d;cb54;
a6;314;33c;d0f8;
a7;313;33d;d6a0;
a8;313;33c;dc44;
aa;312;33b;e1e8;
ab;312;33a;e78c;
ad;313;33b;ed34;
ae;313;33b;f2d8;
b0;311;338;f87c;
b1;30d;337;fe24;
b2;310;338;3c8;
b2;30e;336;918;
b5;30d;334;e68;
b6;30d;336;13b8;
b6;30e;332;195c;
b8;30d;335;1f00;
ba;30b;332;24a8;
ba;30c;330;2a4c;
bc;30c;331;2ff0;
be;309;330;3594;
be;30b;32f;3b3c;
bf;30c;32e;40e0;
c0;30c;32c;4684;
c1;30c;32d;4c28;
c2;30b;32b;51cc;
c3;30b;32a;5774;
c5;30d;329;5d18;
c6;30c;329;62bc;
c6;30b;327;6860;
c8;30d;324;6e08;
c8;309;326;73ac;
cb;30a;328;7950;
cb;30b;323;7ef4;
cc;30b;327;849c;
cd;30a;324;8a40;
cd;307;322;8fe4;
ce;309;320;9588;
cf;307;31f;9b30;
d0;30b;31f;a0d4;
d1;309;320;a678;
d1;30a;320;ac20;
d2;309;31d;b1c4;
d3;30a;320;b768;
d5;309;31e;bd0c;
d6;30a;31e;c2b0;
d6;30c;320;c858;
d7;30b;31d;cdfc;
d9;30b;31d;d3a0;
d9;309;31b;d944;
da;30c;319;deec;
da;309;319;e490;
db;30a;319;ea34;
dc;30d;319;efdc;
dc;30a;319;f580;
dc;309;31a;fb24;
dd;309;317;c8;
de;30a;31a;5c4;
de;30b;31a;b14;
de;308;318;1064;
de;306;318;1608;
df;307;319;1bac;
df;308;318;2154;
e0;308;319;26f8;
e2;309;31a;2c9c;
e0;308;318;3244;
e1;306;318;37e8;
e3;308;317;3d8c;
