;345;2700;
9e;34c;d0;
32;336;344;eb24;
31;335;345;f0c8;
31;335;344;f66c;
2f;335;347;fc18;
2e;335;346;1b8;
2c;338;349;708;
2d;333;349;c58;
2b;336;349;11a8;
2a;334;349;174c;
29;337;349;1cf0;
27;334;34e;2294;
27;333;34a;283c;
26;335;34b;2de0;
24;334;34f;3384;
25;335;34c;3928;
23;336;34e;3ed0;
22;333;353;4474;
22;333;351;4a18;
21;337;353;4fbc;
20;334;352;5564;
20;333;353;5b08;
1f;334;353;60ac;
1e;336;353;6650;
1e;334;354;6bf8;
1d;337;355;719c;
1c;334;355;7740;
1c;335;35a;7ce4;
1b;333;357;828c;
1b;335;35a;8830;
1b;333;357;8dd4;
1a;337;357;9378;
1a;335;359;9920;
1a;336;357;9ec4;
1a;336;358;a468;
19;334;359;aa0c;
19;333;358;afb4;
1a;333;359;b558;
19;335;35f;bafc;
1a;333;35d;c0a0;
18;333;359;c644;
19;32f;35a;cbec;
19;333;35c;d190;
19;335;35b;d734;
19;333;35c;dcdc;
19;333;35a;e280;
19;336;35a;e824;
19;336;35b;edc8;
1a;334;35c;f36c;
1a;336;359;f914;
1a;335;35a;feb8;
1b;335;35c;45c;
1a;334;35b;9ac;
1b;336;35b;efc;
1c;335;35c;144c;
1b;336;35b;19f0;
1c;335;35f;1f98;
1d;336;35c;253c;
1d;335;35c;2ae0;
1e;335;35d;3084;
1f;333;35b;362c;
1f;336;35a;3bd0;
20;334;359;4174;
1f;333;35c;471c;
21;335;35c;4cc0;
21;335;363;5264;
23;333;359;5810;
23;336;35b;5dac;
25;334;35d;6354;
25;333;35c;68f8;
26;336;35b;6e9c;
27;335;35c;7440;
29;333;35c;79e8;
29;338;35b;7f8c;
2a;334;35c;8530;
2b;335;35b;8ad4;
2c;335;35b;907c;
2d;335;35f;9620;
2f;335;35e;9bc4;
2f;336;35f;a16c;
31;335;35b;a710;
32;335;35c;acb4;
34;336;35b;b258;
35;336;35b;b800;
36;334;35c;bda4;
38;335;359;c348;
38;334;35c;c8ec;
3a;334;35c;ce94;
3b;334;35b;d438;
3c;334;35d;d9dc;
3e;332;35e;df80;
40;336;360;e524;
41;335;359;eacc;
42;333;35c;f070;
44;335;35f;f614;
45;333;35b;fbbc;
47;335;35c;160;
48;336;35c;6b0;
4a;335;35d;c04;
4c;334;35e;1150;
4d;335;35b;16f4;
4e;339;35d;1c98;
50;333;35e;223c;
52;336;359;27e4;
53;335;35c;2d88;
56;337;35e;332c;
56;338;35e;38d4;
59;338;35b;3e78;
5b;336;35e;4420;
5b;335;35f;49c0;
5e;335;35b;4f68;
5f;335;35d;550c;
62;336;35c;5ab0;
63;336;35d;6054;
66;335;35e;65fc;
68;336;35d;6ba0;
69;335;35b;7144;
6b;334;359;76e8;
6c;336;358;7c90;
6e;335;35b;8234;
70;333;357;87d8;
72;336;35a;8d7c;
74;335;359;9324;
76;333;356;98c8;
77;335;355;9e6c;
7a;331;356;a418;
7c;335;356;a9b8;
7d;336;351;af5c;
7f;336;352;b500;
80;335;353;baa4;
82;333;351;c04c;
84;335;350;c5f0;
87;335;34f;cb94;
88;336;34f;d138;
8a;336;34f;d6e0;
8c;333;34e;dc84;
8d;336;34d;e228;
8f;335;34f;e7cc;
92;335;34a;ed74;
94;337;34c;f318;
95;335;34c;f8bc;
96;335;349;fe60;
98;338;346;40c;
9a;335;346;954;
9c;336;348;ea8;
9e;337;344;13f8;
9f;337;346;199c;
a1;336;346;1f40;
a3;336;341;24e4;
a5;335;340;2a88;
a6;336;342;3030;
a8;337;33d;35d4;
a9;336;33f;3b78;
ab;335;33e;4120;
ad;335;33d;46c4;
ae;335;33c;4c68;
b0;335;33b;520c;
b1;337;33a;57b4;
b3;335;339;5d58;
b5;336;338;62fc;
b7;336;336;68a0;
b8;337;336;6e48;
ba;332;334;73ec;
ba;337;333;7990;
bc;334;333;7f34;
bf;335;32f;84dc;
bf;338;333;8a80;
c0;334;331;9024;
c3;334;32e;95c8;
c4;336;32c;9b6c;
c4;336;32f;a114;
c6;338;32e;a6b8;
c8;335;329;ac5c;
c9;335;329;b204;
ca;335;328;b7a8;
cb;335;325;bd4c;
cd;336;323;c2f0;
cf;337;326;c898;
cf;335;321;ce3c;
d1;336;323;d3e0;
d2;333;321;d984;
d3;336;321;df2c;
d4;334;321;e4d0;
d5;335;31e;ea74;
d5;337;31c;f020;
d7;336;31c;f5c0;
d7;338;31c;fb64;
d8;336;31c;108;
da;335;31b;658;
da;339;31d;ba8;
da;336;318;10f8;
db;334;31b;169c;
