;345;2700;
9e;34c;d0;
1c;335;350;b310;
1b;335;351;b8b4;
1b;335;351;be58;
1a;337;354;c3fc;
19;336;355;c9a4;
1a;336;353;cf48;
1a;337;356;d4ec;
19;336;356;da90;
19;338;357;e038;
19;336;358;e5dc;
19;336;356;eb80;
19;335;358;f124;
19;336;359;f6cc;
18;337;359;fc70;
19;336;35b;214;
19;337;359;764;
19;335;35a;cb4;
18;336;35c;1204;
1a;335;35a;17a8;
18;337;35b;1d4c;
19;335;35b;22f4;
1a;338;35c;2898;
1a;336;35a;2e3c;
1a;336;35c;33e0;
1b;335;35c;3988;
1b;337;359;3f2c;
1b;336;35a;44d0;
1c;335;35c;4a78;
1b;337;35a;5020;
1d;338;35b;55c0;
1e;335;35b;5b64;
1d;337;35c;6108;
1e;335;35c;66b0;
1f;336;35c;6c54;
20;337;35d;71f8;
20;335;35b;77a0;
21;337;35b;7d44;
22;339;358;82e8;
22;336;35c;888c;
24;335;35b;8e34;
24;337;35c;93d8;
25;338;35d;997c;
27;334;35d;9f20;
28;337;35c;a4c8;
27;336;35d;aa6c;
29;337;35c;b018;
2a;337;35b;b5b4;
2b;335;35c;bb5c;
2c;336;35b;c100;
2d;336;35b;c6a4;
2d;337;35e;cc48;
30;335;35c;d1f0;
30;33a;35c;d794;
31;338;35a;dd38;
34;337;35c;e2dc;
34;336;35b;e880;
36;338;360;ee28;
38;334;35c;f3cc;
39;33b;35a;f970;
3a;335;35d;ff14;
3b;336;35b;4bc;
3c;337;35f;a0c;
3d;336;357;f5c;
40;336;35c;14ac;
41;338;35c;1a50;
42;339;35e;1ff4;
44;337;35d;259c;
45;339;35a;2b40;
47;337;35d;30e4;
48;338;35e;3688;
49;336;35c;3c30;
4b;335;35e;41d4;
4d;333;35d;4778;
4f;337;35d;4d1c;
51;337;35c;52c0;
52;336;35b;5868;
54;336;35b;5e0c;
55;336;35d;63b0;
57;336;35c;6958;
59;338;35a;6efc;
5a;338;35c;74a0;
5d;336;35e;7a44;
5e;337;35d;7fe8;
60;336;35d;8590;
62;338;35d;8b34;
64;338;35e;90d8;
65;337;35e;967c;
67;336;35e;9c24;
69;33a;35c;a1c8;
6b;33a;35d;a76c;
6d;336;359;ad14;
6e;339;35c;b2b8;
6f;338;359;b85c;
71;335;357;be00;
74;337;357;c3a4;
76;335;355;c94c;
78;338;358;cef0;
79;338;355;d494;
7c;338;352;da38;
7d;335;355;dfe0;
7f;337;351;e584;
80;337;352;eb28;
82;334;352;f0d0;
85;338;34f;f674;
87;335;351;fc20;
88;337;352;1bc;
89;337;350;70c;
8c;33a;34c;c5c;
8e;337;34e;11ac;
8f;337;34e;1754;
91;336;34e;1cf8;
93;337;34a;229c;
95;339;34c;2840;
96;336;348;2de8;
99;336;34c;338c;
9a;33a;347;3930;
9c;335;34a;3ed4;
9e;338;344;447c;
9f;33a;345;4a20;
a1;337;343;4fc4;
a2;337;342;5568;
a5;338;344;5b0c;
a7;337;342;60b4;
a8;339;341;6658;
a9;338;342;6bfc;
ab;339;33e;71a4;
ad;336;33d;7748;
af;337;33b;7cec;
b0;338;33c;8290;
b2;33a;33a;8834;
b4;337;337;8ddc;
b5;338;33b;9380;
b7;336;338;9924;
b8;339;339;9ecc;
b9;337;337;a470;
bc;338;334;aa14;
bd;339;335;afb8;
be;338;334;b560;
c0;33a;332;bb04;
c2;337;334;c0a8;
c3;338;331;c64c;
c3;337;332;cbf0;
c6;337;332;d198;
c7;338;32f;d73c;
c7;336;32d;dce0;
ca;335;32c;e288;
cb;338;32f;e82c;
cc;336;32c;edd0;
cd;338;329;f374;
ce;337;329;f918;
cf;335;327;fec0;
d0;335;327;464;
d2;335;324;9b4;
d2;338;328;f04;
d4;337;327;1454;
d4;337;327;19f8;
d6;335;326;1f9c;
d6;338;323;2544;
d8;337;326;2ae8;
d8;337;324;308c;
da;337;323;3634;
da;335;323;3bd8;
db;336;320;417c;
dc;33a;31f;4720;
dd;336;31e;4cc4;
dd;338;31e;526c;
de;336;31b;5818;
df;338;31c;5db4;
df;337;31b;635c;
e0;337;317;6900;
e1;338;31a;6ea4;
e2;337;319;7448;
e1;339;318;79ec;
e2;338;317;7f94;
e3;336;316;8538;
e3;335;314;8adc;
e3;337;317;9084;
e3;337;315;9628;
e5;337;314;9bcc;
e4;339;312;a170;
e4;336;316;a714;
e5;338;311;acbc;
e4;338;314;b260;
e5;338;313;b80c;
e5;337;312;bdac;
e6;337;313;c350;
e6;335;312;c8f4;
e6;338;312;ce98;
e6;338;311;d440;
e5;338;310;d9e4;
e5;338;311;df88;
e5;337;30e;e52c;
e5;337;311;ead0;
e5;33b;310;f078;
e4;338;310;f61c;
e5;337;310;fbc0;
e3;336;310;164;
e3;336;310;6b8;
e3;338;311;c0c;
e1;335;30f;1158;
e2;336;310;16fc;
e2;335;30f;1ca0;
e1;335;30d;2244;
e1;337;30d;27ec;
e1;339;310;2d90;
e0;338;310;3334;
e0;33a;312;38d8;
de;336;312;3e80;
df;338;30e;4424;
de;338;30f;49c8;
dd;335;30e;4f6c;
db;335;310;5514;
da;33a;30f;5ab8;
da;336;30f;605c;
d8;339;310;6600;
d8;338;312;6ba8;
d7;337;30e;714c;
d6;337;310;76f0;
d6;337;310;7c94;
d4;335;310;823c;
d3;337;30f;87e0;
d2;337;30f;8d84;
d1;335;30f;9328;
d0;338;30f;98cc;
ce;335;30d;9e74;
ce;337;30f;a420;
cc;337;30f;a9bc;
cb;338;30e;af60;
ca;336;310;b508;
c9;337;30d;baac;
c8;335;30f;c050;
c7;335;30f;c5f8;
c5;336;30e;cb9c;
c3;338;310;d140;
c2;338;310;d6e4;
c1;338;30f;dc88;
bf;338;310;e230;
bf;336;30f;e7d4;
bd;337;310;ed78;
bb;338;30f;f320;
ba;333;30e;f8c4;
b8;336;310;fe68;
b6;337;30e;414;
b5;337;310;95c;
b2;338;310;eac;
b2;335;30f;13fc;
b1;337;30d;19a0;
ae;33a;30e;1f48;
ad;337;310;24ec;
ab;337;310;2a90;
aa;338;311;3038;
a7;339;310;35dc;
a7;337;311;3b80;
a4;337;30b;4124;
a3;336;30f;46c8;
a2;333;30f;4c70;
9f;336;30f;5214;
9d;338;30f;57b8;
9d;335;310;5d60;
99;334;30f;6304;
98;337;30f;68a8;
97;336;311;6e4c;
95;339;310;73f4;
93;338;313;7998;
91;336;310;7f3c;
8f;337;30f;84e0;
8d;335;311;8a88;
8b;337;312;902c;
8a;337;30f;95d0;
88;338;312;9b74;
87;33a;311;a11c;
84;338;312;a6c0;
82;338;313;ac64;
81;339;314;b208;
7e;337;313;b7b0;
7c;336;315;bd54;
7b;336;316;c2f8;
79;337;315;c89c;
77;335;317;ce44;
76;336;318;d3e8;
74;337;316;d98c;
71;337;319;df30;
70;336;31a;e4d8;
6e;338;31b;ea7c;
6b;338;320;f020;
6b;336;31e;f5c4;
69;337;31e;fb68;
66;335;31f;110;
65;337;322;660;
64;337;323;bb0;
62;338;323;1100;
60;336;326;16a4;
5f;338;326;1c48;
5c;339;329;21f0;
5a;333;327;2794;
59;337;32a;2d38;
58;338;32a;32dc;
55;333;329;3884;
53;337;32c;3e28;
52;336;32e;43cc;
51;333;330;4970;
4f;337;32f;4f18;
4d;334;331;54bc;
4b;338;332;5a60;
49;335;333;600c;
48;334;334;65ac;
47;335;336;6b50;
44;339;335;70f4;
43;336;338;7698;
42;334;336;7c40;
3f;334;335;81e4;
3f;337;337;8788;
3e;335;33c;8d2c;
3b;333;33e;92d4;
3b;336;33e;9878;
3a;337;33e;9e1c;
39;335;33f;a3c0;
37;336;342;a968;
36;336;341;af0c;
34;334;33d;b4b0;
33;338;341;ba54;
32;336;343;bffc;
31;336;344;c5a0;
2f;337;343;cb44;
2e;335;346;d0e8;
2c;339;345;d690;
2c;334;346;dc34;
2c;335;346;e1d8;
2a;336;346;e77c;
29;334;348;ed20;
28;335;346;f2c8;
27;336;348;f86c;
26;337;349;fe10;
25;335;347;3b8;
23;338;34a;904;
24;337;349;e58;
23;335;34c;13a4;
22;337;34b;194c;
21;335;34e;1ef0;
21;337;34e;2494;
20;336;350;2a3c;
1f;335;34e;2fe0;
1f;336;34d;3584;
1e;337;34e;3b28;
1d;334;350;40d0;
1c;336;350;4674;
1c;334;34f;4c20;
1c;338;352;51bc;
1c;336;351;5760;
1b;335;352;5d08;
1a;335;355;62ac;
1b;338;356;6850;
1a;337;355;6df8;
1a;335;359;739c;
1a;335;356;7940;
19;335;357;7ee4;
19;335;356;8488;
1a;336;35a;8a30;
18;336;357;8fd4;
18;336;358;9578;
18;335;356;9b20;
18;336;359;a0c4;
18;336;35a;a668;
19;337;359;ac14;
19;336;35a;b1b4;
18;338;35b;b758;
19;335;35c;bcfc;
1a;339;35b;c2a0;
19;335;35b;c848;
1a;336;35c;cdec;
1a;338;359;d390;
1a;338;35b;d934;
1b;333;35a;ded8;
1c;335;35c;e480;
1b;335;35d;ea24;
1c;334;35c;efc8;
1d;33a;35b;f570;
1c;334;35e;fb14;
1e;335;35c;b8;
1f;337;35c;5b4;
1f;334;35c;b04;
1f;338;35b;1054;
20;336;35a;15f8;
21;333;35b;1b9c;
21;336;35b;2144;
22;338;35c;26e8;
23;333;35f;2c8c;
23;337;35e;3230;
25;335;35a;37d8;
26;335;35c;3d7c;
27;336;35c;4320;
27;338;35d;48c4;
29;333;35d;4e6c;
29;336;35b;5414;
2a;337;361;59b4;
2c;335;35c;5f58;
2d;336;35b;6500;
2e;338;35d;6aa4;
2f;335;35c;7048;
30;337;35d;75ec;
31;335;35b;7b94;
33;337;35c;8138;
34;337;35a;86dc;
35;337;35b;8c80;
37;338;35a;9224;
37;336;35b;97cc;
39;338;35b;9d70;
3a;336;35b;a314;
3b;336;360;a8b8;
3d;335;35c;ae60;
3f;337;35f;b40c;
41;338;35a;b9a8;
42;339;35e;bf50;
43;335;35f;c4f4;
44;338;35d;ca98;
46;339;35f;d03c;
48;336;35b;d5e4;
4a;337;35a;db88;
4b;337;35c;e12c;
4d;335;35d;e6d0;
4e;335;35d;ec78;
50;336;35c;f21c;
52;335;35c;f7c0;
54;337;35b;fd64;
55;338;35b;308;
56;336;35b;858;
57;337;35c;da8;
5a;338;35c;12fc;
5c;335;35b;18a0;
5d;337;35b;1e44;
5f;336;35c;23e8;
61;337;35c;2990;
63;338;35c;2f34;
64;336;35a;34d8;
67;335;35d;3a7c;
68;338;35a;4020;
6a;337;35a;45c8;
6c;337;35b;4b6c;
6d;337;35b;5110;
6f;335;35c;56b8;
71;333;357;5c5c;
73;335;359;6200;
75;338;357;67a4;
77;337;357;6d4c;
78;339;359;72f0;
79;335;354;7894;
7c;338;356;7e38;
7e;337;350;83e0;
80;335;354;8984;
82;337;353;8f28;
83;337;350;94cc;
86;336;352;9a70;
87;337;350;a01c;
89;337;34d;a5bc;
8b;336;34d;ab60;
8c;336;34e;b108;
8e;336;34d;b6ac;
90;338;34e;bc50;
93;337;34a;c1f4;
94;336;34a;c798;
95;336;34b;cd40;
97;336;348;d2e4;
99;339;349;d888;
9b;335;347;de30;
9c;335;348;e3d4;
9f;336;345;e978;
a1;339;343;ef1c;
a2;336;344;f4c4;
a4;338;343;fa68;
a5;338;341;14;
a8;337;341;508;
a9;338;343;a58;
aa;337;340;fa8;
ab;336;33e;14f8;
ae;338;33c;1a9c;
af;336;33c;2040;
b1;337;33c;25e8;
b3;335;336;2b8c;
b4;338;33b;3130;
b5;338;337;36d4;
b7;338;333;3c7c;
b9;337;338;4220;
bb;338;336;47c4;
bb;336;333;4d68;
bd;337;333;5310;
bf;338;334;58b4;
c1;336;333;5e58;
c1;338;332;63fc;
c3;338;32f;69a4;
c3;336;32e;6f48;
c6;337;32c;74ec;
c8;338;32c;7a90;
c8;338;32f;8034;
ca;337;329;85dc;
cb;335;32b;8b80;
cc;336;32a;9124;
cc;337;32a;96cc;
ce;338;32b;9c70;
d0;336;329;a214;
d2;336;327;a7b8;
d2;338;327;ad60;
d3;337;327;b304;
d4;335;326;b8a8;
d4;338;325;be4c;
d6;339;324;c3f4;
d7;338;325;c998;
d8;338;324;cf3c;
d8;337;323;d4e0;
d9;337;321;da84;
da;335;320;e02c;
db;336;320;e5d0;
dd;337;31d;eb74;
dc;336;31e;f11c;
dd;336;31c;f6c0;
dd;337;31a;fc64;
de;337;31d;208;
e0;334;319;758;
e0;336;318;ca8;
df;336;31a;11f8;
e1;336;315;17a0;
e1;335;313;1d44;
e2;338;317;22e8;
e3;338;316;288c;
e4;337;315;2e34;
e4;337;316;33d8;
e3;336;313;397c;
e4;338;316;3f20;
e4;335;313;44c4;
e4;338;311;4a6c;
e5;339;313;5018;
e5;335;312;55b4;
e5;335;311;5b5c;
e6;336;315;6100;
e5;338;311;66a4;
e6;335;310;6c48;
e6;339;310;71f0;
e6;335;311;7794;
e6;335;311;7d38;
e5;338;311;82dc;
e4;338;30f;8884;
e5;338;311;8e28;
e5;338;30f;93cc;
e4;337;312;9970;
e5;336;312;9f18;
e4;335;30d;a4bc;
e3;335;311;aa60;
e4;337;30e;b00c;
e3;337;30e;b5ac;
e2;337;312;bb50;
e2;337;310;c0f4;
e2;335;310;c698;
e1;338;311;cc40;
e1;338;311;d1e4;
e0;337;311;d788;
e0;337;313;dd2c;
de;337;310;e2d4;
de;338;310;e878;
dc;334;30e;ee1c;
dc;336;310;f3c0;
dc;336;30f;f968;
db;337;311;ff0c;
da;335;311;4b0;
d8;336;310;a00;
d9;338;311;f50;
d7;336;310;14a0;
d6;337;30f;1a44;
d5;338;30e;1fe8;
d4;337;311;2590;
d4;339;311;2b34;
d2;338;310;30d8;
d1;335;30e;3680;
d0;336;30e;3c24;
cf;338;30e;41c8;
ce;335;311;476c;
cc;336;30f;4d10;
cc;336;30e;52b8;
ca;338;310;585c;
c9;337;311;5e00;
c7;338;311;63a8;
c6;338;30e;694c;
c5;338;311;6ef0;
c3;336;310;7494;
c2;33a;310;7a38;
c0;337;310;7fe0;
bd;335;30f;8584;
be;335;311;8b28;
bd;337;30d;90d0;
bb;338;310;9674;
b9;336;30e;9c20;
b7;336;30f;a1bc;
b5;336;30f;a764;
b5;337;30f;ad08;
b2;33a;310;b2ac;
b1;338;311;b850;
b0;335;30e;bdf4;
ae;337;30f;c39c;
ac;338;312;c940;
ab;33a;310;cee4;
a9;338;313;d488;
a7;336;311;da30;
a5;336;30f;dfd4;
a4;337;310;e578;
a2;338;30f;eb20;
9f;336;310;f0c4;
9e;335;30f;f668;
9c;338;30f;fc14;
9b;336;30f;1b0;
99;336;30f;704;
97;336;311;c54;
96;337;30f;11a4;
93;337;310;1748;
91;337;310;1cec;
90;336;310;2290;
8e;337;30f;2834;
8c;338;311;2ddc;
8a;336;30f;3380;
89;338;311;3924;
87;335;311;3ec8;
85;337;312;4470;
83;337;311;4a14;
81;338;313;4fb8;
80;336;314;5560;
7e;336;311;5b04;
7c;33a;318;60a8;
7a;335;315;664c;
78;336;315;6bf4;
76;335;317;7198;
74;337;31a;773c;
73;337;319;7ce0;
70;339;317;8288;
6f;335;31d;882c;
6d;337;31e;8dd0;
6c;338;31e;9374;
6a;335;31e;9918;
68;337;31f;9ec0;
66;336;320;a464;
64;336;322;aa08;
62;335;320;afb0;
61;334;326;b554;
5f;335;326;baf8;
5d;336;326;c09c;
5b;336;328;c644;
5a;333;327;cbe8;
57;335;329;d18c;
56;337;32a;d730;
55;336;32e;dcd8;
52;336;32c;e27c;
51;338;32f;e820;
50;335;330;edc4;
4e;336;331;f36c;
4c;338;333;f910;
4b;336;334;feb4;
49;336;334;458;
48;333;336;9a8;
46;335;334;ef8;
44;335;338;1448;
43;336;339;19ec;
42;336;33a;1f94;
40;336;33b;2538;
3e;338;33f;2adc;
3d;335;33b;3084;
3c;336;33c;3628;
3b;333;33f;3bcc;
39;335;33e;4170;
38;337;341;4718;
37;334;340;4cbc;
35;335;342;5260;
33;337;33f;580c;
33;335;343;5dac;
32;335;344;6350;
30;338;342;68f4;
2f;339;343;6e98;
2e;336;346;743c;
2c;33a;345;79e4;
2b;336;345;7f88;
2b;336;348;852c;
29;336;34a;8ad4;
29;334;347;9078;
27;334;349;961c;
27;336;347;9bc0;
25;335;34b;a168;
25;336;34b;a70c;
23;336;34a;acb0;
23;335;34c;b254;
22;336;34d;b7fc;
22;333;34c;bda0;
21;336;34f;c344;
20;333;34d;c8e8;
1f;337;34b;ce8c;
1f;335;350;d434;
1e;338;352;d9d8;
1d;336;34f;df7c;
1d;336;34f;e520;
1d;336;352;eac8;
1b;336;351;f06c;
1b;335;34f;f610;
1b;333;352;fbb4;
1a;334;353;15c;
1a;336;354;6ac;
1a;335;355;bfc;
19;335;354;114c;
19;339;356;16f0;
1a;339;357;1c94;
18;336;357;2238;
19;335;357;27e0;
18;339;357;2d84;
19;336;356;3328;
19;338;359;38d0;
19;335;359;3e74;
19;339;357;4420;
18;335;357;49bc;
18;336;359;4f60;
19;337;35f;5508;
19;337;35f;5aac;
1a;336;35d;6050;
1a;335;35b;65f4;
1a;334;35b;6b9c;
1a;336;35c;7140;
1a;336;35d;76e4;
1a;335;35b;7c88;
1c;334;35c;8230;
1b;336;359;87d4;
1b;339;35d;8d78;
1c;335;35b;9320;
1b;337;35b;98c4;
1d;338;35d;9e68;
1e;336;35a;a414;
1e;338;35d;a9b4;
1f;336;35c;af58;
20;337;35d;b4fc;
21;33a;35c;baa0;
21;335;35b;c048;
22;335;35c;c5ec;
23;335;35b;cb90;
23;335;35c;d134;
24;337;35d;d6d8;
25;339;35a;dc80;
26;336;361;e224;
27;335;35c;e7c8;
29;337;35c;ed70;
29;337;35c;f314;
2b;336;35e;f8b8;
2b;337;35b;fe5c;
2c;335;35c;408;
2c;33a;35d;954;
2f;333;35b;ea4;
30;336;35c;13f4;
31;333;35b;1998;
32;336;35d;1f3c;
34;337;35d;24e0;
34;337;35c;2a88;
35;33a;35c;302c;
37;336;35a;35d0;
38;335;35f;3b74;
39;334;35f;411c;
3b;336;35b;46c0;
3d;335;35c;4c64;
3e;335;35c;5208;
3f;339;35b;57b0;
42;335;35c;5d54;
43;336;35d;62f8;
44;336;361;689c;
46;336;35b;6e44;
46;339;35d;73e8;
49;337;35f;798c;
4a;335;35c;7f30;
4c;335;35d;84d8;
4e;335;35d;8a7c;
4f;335;35e;9020;
51;338;35d;95c4;
52;336;35e;9b6c;
54;335;35a;a110;
55;337;35b;a6b4;
57;336;35b;ac58;
59;337;35c;b1fc;
5b;337;35b;b7a4;
5d;338;35b;bd48;
5e;335;35c;c2ec;
5f;336;35e;c890;
61;336;35c;ce38;
64;338;35c;d3dc;
66;333;35b;d980;
67;335;35d;df28;
69;336;35b;e4cc;
6c;337;35c;ea70;
6d;337;35a;f01c;
6f;338;357;f5b8;
70;337;359;fb60;
72;336;358;104;
73;33a;355;654;
76;335;354;ba4;
78;338;355;10f4;
7a;337;357;1698;
7c;338;352;1c40;
7e;338;356;21e4;
7f;339;354;2788;
81;337;34f;2d2c;
83;336;352;32d0;
85;337;352;3878;
86;338;351;3e1c;
88;336;34f;43c0;
8a;33a;34f;4964;
8c;337;34d;4f0c;
8d;335;350;54b0;
90;337;34e;5a54;
91;338;34e;5ffc;
93;338;34e;65a0;
95;336;34d;6b44;
97;339;34b;70e8;
99;338;347;7690;
9b;337;345;7c34;
9c;338;345;81d8;
9e;337;346;877c;
a0;335;343;8d24;
a2;338;343;92c8;
a4;338;345;986c;
a6;339;342;9e10;
a6;338;33f;a3b8;
a9;336;341;a95c;
aa;336;33f;af00;
ac;339;33b;b4a4;
ae;337;33e;ba4c;
b0;337;33c;bff0;
b1;335;33b;c594;
b2;338;33a;cb38;
b4;335;339;d0dc;
b6;338;33b;d684;
b7;33a;336;dc28;
b9;334;338;e1cc;
ba;336;337;e774;
bc;338;339;ed18;
be;337;334;f2bc;
bf;335;333;f860;
c0;337;334;fe08;
c1;336;32e;3ac;
c3;338;331;8fc;
c4;338;32d;e4c;
c6;335;32f;139c;
c7;338;32f;1940;
c7;336;32c;1ee4;
c9;339;32d;248c;
cb;336;329;2a30;
cc;33a;32b;2fd4;
cd;334;32a;3578;
cf;337;329;3b20;
d0;335;329;40c4;
d1;339;32a;4668;
d1;339;327;4c14;
d3;337;326;51b4;
d4;339;327;5758;
d5;337;324;5cfc;
d6;338;328;62a0;
d7;337;325;6848;
d7;337;324;6dec;
d9;338;323;7390;
d9;333;324;7934;
da;338;31f;7edc;
da;335;323;8480;
dc;337;31f;8a24;
dd;336;31e;8fc8;
de;336;31e;956c;
de;336;31c;9b14;
df;337;31a;a0b8;
e0;335;31b;a65c;
e1;334;318;ac08;
e1;337;31b;b1a8;
e2;336;317;b74c;
e1;335;317;bcf0;
e2;337;315;c298;
e3;338;317;c83c;
e3;336;313;cde0;
e4;339;314;d384;
e3;338;314;d92c;
e3;336;314;ded0;
e4;337;312;e474;
e5;338;313;ea18;
e5;336;311;efbc;
e5;336;310;f564;
e5;338;310;fb08;
e5;336;311;ac;
e6;335;313;5a8;
e5;338;311;af8;
e6;337;311;1048;
e5;339;311;15ec;
e6;33a;310;1b94;
e4;338;30e;2138;
e4;337;311;26dc;
e4;335;310;2c80;
e5;339;310;3228;
e4;337;30f;37cc;
e3;336;30f;3d70;
e3;337;30f;4314;
e3;335;310;48bc;
e3;335;310;4e60;
e2;337;311;540c;
e2;33a;311;59a8;
e1;336;310;5f50;
e2;336;30d;64f4;
e1;336;30e;6a98;
e1;338;30e;703c;
df;336;310;75e4;
df;336;312;7b88;
de;335;30f;812c;
de;338;311;86d0;
de;339;30e;8c78;
dc;337;30e;921c;
db;337;311;97c0;
da;337;30f;9d64;
d9;338;30f;a30c;
d9;336;30f;a8b0;
d9;337;313;ae54;
d7;335;310;b3f8;
d6;337;30e;b9a0;
d5;337;311;bf44;
d5;334;310;c4e8;
d3;337;313;ca8c;
d3;337;30f;d034;
d0;337;310;d5d8;
d0;335;30c;db7c;
ce;338;311;e120;
ce;335;310;e6c8;
cb;336;30f;ec6c;
cb;335;311;f210;
ca;335;30f;f7b4;
c8;335;30f;fd5c;
c7;337;311;300;
c7;339;30f;850;
c5;336;311;da0;
c3;337;30f;12f0;
c2;335;311;1894;
c1;338;311;1e38;
c0;337;312;23e0;
bf;339;30f;2984;
bd;336;313;2f28;
bb;337;30f;34cc;
ba;336;30e;3a74;
b8;336;310;401c;
b7;337;310;45bc;
b5;337;30e;4b60;
b3;336;30e;5108;
b1;337;30f;56ac;
b0;336;311;5c50;
af;337;30f;61f4;
ad;338;310;679c;
ac;335;312;6d40;
aa;338;310;72e4;
a7;338;310;7888;
a7;336;310;7e30;
a4;337;30d;83d4;
a3;338;310;8978;
a1;333;30f;8f1c;
9f;336;312;94c4;
9d;337;30e;9a68;
9c;337;311;a014;
99;336;30f;a5b0;
98;336;310;ab58;
97;338;30e;b0fc;
95;337;311;b6a0;
93;336;312;bc44;
91;335;30f;c1ec;
8f;337;310;c790;
8d;336;311;cd34;
8b;335;313;d2d8;
89;336;313;d87c;
88;334;313;de24;
86;336;313;e3c8;
83;336;311;e96c;
82;338;314;ef10;
81;336;312;f4b8;
7e;337;313;fa5c;
7c;335;316;8;
7b;336;314;4a8;
79;337;316;9f8;
78;339;318;f48;
76;337;317;1498;
74;337;318;1a3c;
72;336;319;1fe0;
70;336;31c;2588;
6f;336;31b;2b2c;
6c;339;31b;30d0;
6a;336;31c;3674;
69;336;31e;3c20;
67;336;31e;41c0;
65;335;321;4764;
64;339;323;4d08;
61;336;325;52b0;
60;333;325;5854;
5d;337;327;5df8;
5d;338;326;639c;
5a;336;328;6944;
59;338;329;6ee8;
56;336;32b;748c;
56;335;32c;7a30;
54;335;32c;7fd8;
52;334;32d;857c;
51;336;32f;8b20;
4f;335;32d;90c4;
4d;335;332;966c;
4c;337;331;9c14;
4a;337;330;a1b4;
48;338;331;a758;
47;337;335;ad00;
45;339;336;b2a4;
43;335;337;b848;
43;335;338;bdec;
41;336;33b;c394;
3f;338;33d;c938;
3e;335;33c;cedc;
3d;337;33e;d480;
3b;337;33b;da24;
3a;337;33f;dfcc;
38;337;340;e570;
37;334;343;eb14;
35;335;341;f0bc;
34;335;341;f660;
33;333;340;fc0c;
32;333;341;1a8;
30;337;343;6f8;
30;336;343;c48;
2f;333;346;1198;
2d;333;343;173c;
2b;334;346;1ce4;
2b;335;348;2288;
2a;336;345;282c;
29;338;348;2dd0;
29;337;347;3378;
28;337;349;391c;
26;336;34a;3ec0;
26;335;34c;4468;
24;336;349;4a0c;
23;338;34b;4fb0;
23;335;34e;5554;
22;336;34a;5af8;
20;338;34e;60a0;
21;335;34c;6644;
20;336;34c;6be8;
1f;335;34e;718c;
1f;335;34e;7734;
1e;336;34f;7cd8;
1d;336;352;827c;
1d;336;350;8824;
1c;337;352;8dc8;
1b;338;353;936c;
1c;335;354;9910;
1b;336;351;9eb8;
1b;334;353;a45c;
1b;335;354;aa00;
19;33a;351;afa4;
1a;335;356;b548;
19;338;354;baf0;
19;338;353;c094;
19;336;358;c638;
19;335;35a;cbe0;
19;336;35a;d184;
19;338;358;d728;
19;335;35c;dccc;
18;337;35b;e274;
19;335;35d;e81c;
19;339;35b;edbc;
18;336;35b;f360;
1a;334;35b;f904;
19;338;35c;feac;
1a;337;35c;450;
1a;335;359;9a0;
1a;335;35b;ef0;
1a;337;35c;1440;
1a;335;359;19e4;
1b;337;35b;1f8c;
1b;337;35b;2530;
1b;339;360;2ad4;
1c;339;35b;3078;
1c;338;35b;3620;
1c;333;35d;3bc4;
1e;335;35a;4168;
1e;336;35d;470c;
1f;335;35b;4cb4;
20;335;35e;5258;
20;335;35a;57fc;
20;337;35a;5da0;
22;335;35c;6348;
23;336;35d;68ec;
24;338;35d;6e90;
24;335;35c;7434;
25;337;35b;79d8;
26;337;35d;7f80;
27;336;35a;8524;
28;33a;35d;8ac8;
29;338;35c;9070;
2a;334;360;9614;
2b;337;35a;9bb8;
2c;338;35d;a15c;
2c;335;35b;a704;
2f;337;35c;aca8;
2f;337;35e;b24c;
31;338;35c;b7f0;
32;338;35c;bd94;
33;336;35d;c33c;
34;333;35e;c8e0;
35;338;35d;ce84;
37;335;35d;d42c;
38;336;35f;d9d0;
39;337;35b;df74;
3a;336;35d;e518;
3c;338;35f;eac0;
3c;336;35b;f064;
3f;338;35d;f608;
41;338;35a;fbac;
41;339;360;150;
43;336;35e;6a4;
45;335;35d;bf4;
46;337;35e;1140;
48;338;35e;16e8;
4a;337;35b;1c8c;
4b;337;35d;2230;
4c;335;35d;27d4;
4f;336;35d;2d7c;
50;337;35d;3320;
52;338;35d;38c4;
53;335;35d;3e6c;
55;336;35e;4414;
56;338;35b;49b4;
59;335;35d;4f58;
5a;338;35e;5500;
5c;338;35a;5aa4;
5d;338;35e;6048;
5f;337;359;65ec;
61;336;35c;6b94;
63;338;35b;7138;
65;338;35a;76dc;
66;335;35b;7c80;
69;337;35c;8228;
6a;336;359;87cc;
6c;338;35c;8d70;
6e;337;359;9314;
6e;337;35c;98bc;
71;337;356;9e60;
73;33a;356;a40c;
75;337;357;a9a8;
76;338;35a;af50;
79;338;356;b4f4;
7b;337;354;ba98;
7d;335;352;c03c;
7e;336;353;c5e0;
80;337;352;cb88;
82;337;350;d12c;
84;337;352;d6d0;
86;336;352;dc74;
87;337;351;e21c;
8a;336;34d;e7c0;
8b;337;350;ed64;
8d;338;34e;f308;
8f;335;34d;f8b0;
90;335;34b;fe54;
92;338;34b;3f8;
94;337;34b;948;
96;336;34a;e98;
97;336;34a;13e8;
9a;337;34a;1990;
9b;336;346;1f34;
9d;336;347;24d8;
9f;339;344;2a7c;
a0;338;345;3024;
a2;338;345;35c8;
a4;338;342;3b6c;
a6;33b;343;4110;
a7;338;342;46b4;
a9;33a;340;4c5c;
aa;337;33d;5200;
ac;338;33e;57a4;
