34b;2e3;317;6538;
31a;2e2;316;696c;
313;2e6;314;6da0;
328;2e6;318;71d4;
360;2e5;318;760c;
392;2e7;319;7a40;
3ca;2e7;317;7e74;
3e6;2e6;318;82ac;
3ed;2e7;315;86e0;
3d0;2e6;317;8b14;
3a0;2e3;318;8f48;
367;2e6;314;9378;
336;2e3;317;97ac;
313;2e5;318;9bdc;
313;2e3;317;a018;
336;2e3;316;a450;
367;2e5;316;a884;
3ae;2e3;318;acbc;
3d8;2e4;317;b0f0;
3ed;2e0;318;b524;
3e6;2e6;316;b958;
3c2;2e6;318;bd90;
384;2e3;316;c1c4;
34b;2e1;318;c5f8;
321;2e4;318;ca2c;
313;2e5;318;ce64;
31a;2e6;316;d29c;
34b;2e7;317;d6d0;
384;2e7;318;db04;
3bc;2e6;317;df30;
3de;2e4;316;e35c;
3ed;2e6;318;e78c;
3de;2e4;316;ebb8;
3ae;2e4;317;eff0;
375;2e3;316;f42c;
344;2e4;318;f864;
31a;2e4;317;fc98;
313;2e4;316;cc;
32f;2e7;317;500;
360;2e3;315;934;
398;2e3;316;d68;
3ca;2e7;317;119c;
3e6;2e6;315;15d4;
3ed;2e6;317;1a0c;
3ca;2e6;314;1e44;
398;2e5;318;2278;
359;2e6;318;26a4;
32f;2e6;318;2ad8;
31a;2e3;319;2f0c;
321;2e6;318;3338;
344;2e7;317;376c;
37c;2e4;318;3ba0;
3ae;2e3;316;3fd4;
3d8;2e3;317;4418;
3ed;2e6;318;4854;
3de;2e7;316;4c88;
3b4;2e2;316;50bc;
37c;2e7;317;54f0;
34b;2e1;316;5924;
31a;2e5;315;5d58;
313;2e5;316;618c;
32f;2e4;313;65c0;
359;2e5;315;69f4;
38a;2e3;318;6e20;
3ca;2e6;315;7254;
3e6;2e3;318;7688;
3ed;2e6;317;7abc;
3d0;2e4;318;7ef0;
3a0;2e6;317;8324;
367;2e3;318;8758;
33d;2e4;318;8b88;
31a;2e6;318;8fb8;
31a;2e4;316;93e8;
336;2e3;318;9824;
367;2e4;317;9c58;
3a0;2e6;318;a084;
3d0;2e4;318;a4b0;
3ed;2e5;318;a8e4;
3ed;2e6;316;ad1c;
3bc;2e4;318;b150;
38a;2e5;316;b588;
352;2e4;313;b9bc;
328;2e3;318;bdf0;
31a;2e7;314;c224;
321;2e3;313;c658;
34b;2e7;314;ca98;
384;2e3;316;cec4;
3b4;2e3;317;d300;
3de;2e6;317;d734;
3ed;2e8;318;db68;
3de;2e6;317;df9c;
3ae;2e3;318;e3d0;
37c;2e7;318;e80c;
33d;2e3;319;ec48;
31a;2e6;318;f07c;
31a;2e6;314;f4b0;
32f;2e4;313;f8e8;
360;2e2;317;fd1c;
398;2e4;319;150;
3ca;2e5;317;588;
3ed;2e4;317;9bc;
3e6;2e3;317;df0;
3ca;2e3;318;1224;
392;2e6;317;1658;
359;2e4;317;1a84;
336;2e5;317;1eb8;
313;2e5;318;22ec;
31a;2e6;316;271c;
344;2e6;314;2b5c;
375;2e4;318;2f8c;
3ae;2e0;317;33bc;
3d8;2e6;317;37f0;
3ed;2e6;317;3c2c;
3e6;2e4;317;4060;
3bc;2e6;318;4494;
37c;2e4;316;48c8;
34b;2e6;317;4cfc;
321;2e3;314;5130;
313;2e3;318;5564;
328;2e3;316;5998;
352;2e3;316;5dd0;
38a;2e7;317;6204;
3c2;2e4;317;663c;
3e6;2e3;317;6a68;
3ed;2e4;316;6e98;
3d0;2e7;313;72c8;
3a6;2e5;318;7700;
36e;2e8;31b;7b34;
33d;2e7;316;7f68;
31a;2e5;318;839c;
313;2e3;318;87d0;
336;2e6;316;8c0c;
367;2e1;316;9048;
3a0;2e4;316;947c;
3d8;2e6;316;98b4;
3ed;2e7;316;9cec;
3e6;2e3;317;a124;
3ca;2e5;317;a55c;
392;2e3;317;a990;
352;2e5;318;adc0;
328;2e4;318;b1f4;
31a;2e3;316;b628;
31a;2e1;318;ba60;
344;2e3;318;be90;
37c;2e6;317;c2c4;
