9328;348;9b60;
85;31d;342;9f00;
88;31b;33f;a4a4;
8a;31b;342;aa4c;
8b;31c;340;aff0;
8d;31b;33f;b594;
90;31b;33e;bb38;
91;31b;33f;c0e0;
92;31b;33d;c684;
95;31a;33b;cc28;
96;319;339;d1cc;
98;319;33b;d774;
9a;318;33d;dd18;
9c;316;333;e2bc;
9c;316;336;e860;
9f;313;335;ee08;
a2;318;334;f3ac;
a2;314;334;f950;
a5;313;334;fef4;
a6;314;332;49c;
a8;313;331;9ec;
aa;314;332;f3c;
ab;311;32f;148c;
ac;313;330;1a30;
af;30f;32d;1fd4;
b0;311;32e;2578;
b1;313;32f;2b20;
b3;310;32e;30c4;
b4;311;32d;3668;
b7;310;329;3c14;
b7;30e;32a;41b4;
b9;311;329;4758;
bb;310;328;4cfc;
bc;30e;327;52a0;
be;30f;327;5848;
bf;311;327;5dec;
c1;30e;322;6390;
c2;310;323;6934;
c4;30d;324;6edc;
c5;30c;321;7480;
c7;30d;322;7a24;
c7;30e;321;7fc8;
c9;30b;320;8570;
ca;30c;31c;8b14;
cb;30b;31b;90b8;
cd;30a;31e;965c;
ce;30a;31d;9c08;
cf;30a;31f;a1a8;
d0;30a;319;a74c;
d2;309;31c;acf0;
d2;309;319;b298;
d3;307;317;b83c;
d5;308;319;bde0;
d6;306;31b;c384;
d7;307;318;c92c;
d7;308;316;ced0;
d8;303;315;d474;
d9;302;317;da18;
da;303;314;dfc0;
db;301;316;e564;
dc;300;314;eb08;
dc;2fd;311;f0ac;
dc;2fd;313;f654;
de;2fc;313;fbf8;
e0;2fc;312;19c;
df;2fb;314;6ec;
e0;2fc;312;c3c;
e0;2fa;30e;118c;
df;2fa;311;1730;
e1;2fc;310;1cd8;
e2;2fe;30e;227c;
e1;2fe;30d;2820;
e3;2fa;30f;2dc4;
e3;2fa;30d;336c;
e3;2fb;30b;3910;
e3;2f9;30f;3eb4;
e5;2fe;30d;4458;
e3;2fa;30c;4a00;
e4;2fb;30c;4fa4;
e4;2f7;309;5548;
e4;2fd;30d;5aec;
e6;2f9;30c;6094;
e5;2fd;30d;6638;
e5;2fc;30d;6bdc;
e5;2fc;30c;7180;
e5;2fc;30c;7728;
e5;2f9;30b;7ccc;
e5;2fa;30b;8270;
e4;2fb;309;881c;
e4;2f9;30c;8dbc;
e4;2fc;30b;9360;
e4;2fa;307;9904;
e4;2fb;30b;9ea8;
e4;2fb;30b;a450;
e4;2f9;30c;a9f4;
e2;2fb;308;af98;
e2;2fb;30c;b53c;
e2;2fa;309;bae4;
e1;2fa;30b;c088;
e2;2fb;30e;c62c;
e1;2fb;30b;cbd0;
e0;2fd;30c;d178;
e0;2fa;30a;d71c;
de;2fa;30d;dcc0;
de;2fc;30c;e264;
de;2f9;30c;e810;
de;2fa;30d;edb0;
dd;2fc;30b;f354;
dc;2f6;307;f8f8;
dc;2fc;30c;fea0;
da;2fc;30b;444;
da;2f9;307;994;
d9;2fb;30c;ee4;
d7;2fa;30a;1434;
d5;2f6;30a;19d8;
d6;2fc;30c;1f7c;
d5;2fb;30b;2524;
d3;2f8;30a;2ac8;
d3;2fd;30b;306c;
d1;2fc;309;3610;
d1;2f9;30a;3bb8;
d0;2fd;309;415c;
cd;2fb;30b;4700;
cd;2f9;30a;4ca4;
cc;2fe;30a;524c;
ca;2fc;309;57f0;
c9;2fa;30b;5d94;
c8;2f9;30b;6338;
c6;2fd;30c;68e0;
c6;2f8;30c;6e84;
c5;2fb;30a;7428;
c3;2fc;308;79cc;
c2;2fb;30c;7f74;
c0;2fb;30a;8518;
bf;2f9;30b;8abc;
bd;2fb;30c;9060;
bb;2fa;30d;9608;
ba;2fe;309;9bac;
b9;2f9;30a;a150;
b7;2fa;308;a6f4;
b5;2fc;30c;ac9c;
b4;2fb;309;b240;
b2;2fc;30b;b7e4;
b0;2fb;30a;bd88;
af;2fa;30e;c330;
ae;2fc;30a;c8d4;
ab;2fb;30a;ce78;
aa;2fa;30e;d420;
a8;2fa;309;d9c4;
a7;2fa;30b;df68;
a5;2fa;30d;e50c;
a3;2f7;30c;eab0;
a1;2fc;30b;f058;
9f;2f9;30c;f5fc;
9e;2fe;30c;fba0;
9c;2fb;30d;144;
9b;2fa;30c;694;
99;2fc;30b;be4;
97;2fc;30b;1134;
95;2fb;30c;16dc;
94;2fb;30d;1c80;
91;2fc;30b;2224;
90;2fc;30c;27c8;
8e;2fd;30b;2d70;
8c;2fd;30b;3314;
8a;2fb;309;38b8;
88;2fd;30b;3e5c;
87;2fc;30b;4408;
85;2f9;30c;49a8;
83;2fc;309;4f4c;
81;2fc;30b;54f0;
7f;2fb;30b;5a98;
7d;2fc;30b;603c;
7b;2fc;30c;65e0;
79;2f9;30c;6b84;
78;2fc;30b;712c;
76;2fe;30c;76d0;
74;2fd;30c;7c74;
72;2fc;30e;8218;
6f;2fc;30c;87c0;
6f;2fc;30d;8d64;
6d;300;30c;9308;
6b;2fd;30f;98ac;
69;2fd;310;9e54;
67;300;30e;a3f8;
65;300;30e;a99c;
64;2ff;30f;af40;
62;300;30f;b4e8;
60;2ff;313;ba8c;
5e;2ff;316;c030;
5c;305;314;c5d4;
5b;308;317;cb7c;
59;307;316;d120;
58;307;318;d6c4;
55;30a;319;dc68;
54;307;31b;e210;
52;30c;31a;e7b4;
50;30e;31f;ed58;
4f;30f;31e;f2fc;
4d;312;31b;f8a4;
4c;312;323;fe48;
4a;312;320;3ec;
48;313;323;93c;
47;316;327;e8c;
46;315;326;13dc;
45;317;328;1980;
42;316;327;1f28;
41;318;32a;24cc;
40;316;32c;2a70;
3e;317;32c;301c;
3d;319;32d;35bc;
3b;319;32c;3b60;
3a;31c;32e;4104;
39;31b;330;46a8;
37;31b;330;4c50;
36;319;331;51f4;
35;319;332;5798;
34;319;334;5d3c;
32;31a;335;62e4;
32;319;338;6888;
30;319;336;6e2c;
2f;31b;33b;73d0;
2e;319;337;7978;
2d;31c;33e;7f1c;
2c;31b;339;84c0;
2b;31b;339;8a64;
28;31c;33b;9010;
29;31c;33f;95b0;
27;31c;33f;9b54;
27;31f;33f;a0f8;
25;31e;340;a6a0;
25;320;342;ac44;
23;31f;340;b1e8;
23;31f;342;b78c;
22;322;345;bd34;
21;323;344;c2d8;
21;326;345;c87c;
20;328;347;ce20;
1f;327;346;d3c8;
1f;328;347;d96c;
1e;326;34a;df10;
1e;329;349;e4b4;
1d;32a;34b;ea5c;
1d;329;349;f004;
1c;32e;34a;f5a4;
1b;32b;34b;fb48;
1c;32b;34c;f0;
1b;32b;34e;5e8;
1a;32a;34c;b38;
1b;32a;34f;1088;
1a;329;34b;1630;
19;32b;34e;1bd4;
1a;32e;352;2178;
19;32c;34f;271c;
19;329;34f;2cc4;
19;32c;34f;3268;
19;32b;354;3814;
1a;32a;352;3db0;
19;32e;350;4358;
19;32e;352;48fc;
18;32b;354;4ea0;
19;32b;355;5444;
19;32c;355;59ec;
1a;32a;351;5f90;
19;32e;357;6534;
1a;32c;353;6ad8;
1a;32b;355;7080;
1a;32c;352;7624;
1b;32f;353;7bc8;
1c;32d;357;816c;
1b;32e;354;8714;
1c;32d;359;8cb8;
1d;32c;357;925c;
1c;32c;357;9808;
1d;32c;357;9da8;
1e;32b;355;a34c;
1e;32c;358;a8f0;
1f;32d;353;ae94;
21;329;355;b43c;
20;32f;354;b9e0;
22;32c;357;bf84;
22;32b;357;c528;
23;32f;356;cad0;
23;32d;355;d074;
24;32b;356;d618;
25;32b;353;dbbc;
26;32b;359;e164;
27;32b;358;e708;
27;32d;354;ecac;
28;32d;357;f250;
2a;328;356;f7f8;
2a;32d;357;fd9c;
2b;32c;357;340;
2c;32c;358;890;
2e;32b;358;de0;
2e;32e;35b;1330;
30;32c;355;18d4;
31;32c;358;1e7c;
31;32c;35a;2420;
34;32b;35a;29c4;
35;32c;359;2f68;
36;32a;358;3510;
37;32c;357;3ab4;
3a;32d;358;4058;
3a;32a;356;45fc;
3c;32e;358;4ba4;
3e;32b;358;5148;
3e;32d;356;56ec;
40;32a;356;5c90;
41;32c;353;6238;
43;32c;357;67dc;
45;32b;357;6d80;
46;329;355;7324;
48;32d;358;78cc;
4a;329;356;7e70;
4b;32a;353;841c;
4c;32a;355;89b8;
4f;32a;353;8f60;
50;330;354;9504;
51;32b;353;9aa8;
54;32b;352;a04c;
54;32c;351;a5f4;
56;329;353;ab98;
59;329;353;b13c;
5a;328;34e;b6e0;
5b;32a;34f;bc88;
5e;328;350;c22c;
5f;32b;34f;c7d0;
61;328;350;cd74;
63;325;34d;d31c;
65;327;34f;d8c0;
66;325;34f;de64;
68;329;34d;e410;
6a;322;350;e9b0;
6b;321;34c;ef54;
6d;320;34c;f4f8;
70;321;349;fa9c;
71;321;34b;44;
73;321;348;53c;
74;322;345;a8c;
77;31d;349;fdc;
78;31e;347;152c;
7a;31e;348;1ad4;
7c;31f;349;2078;
7d;31e;347;261c;
7f;31e;347;2bc0;
81;31f;344;3168;
83;31e;341;370c;
84;31c;342;3cb0;
87;31d;33f;4254;
89;31f;340;47fc;
8b;31e;340;4da0;
8d;31f;33f;5344;
8d;31e;33d;58e8;
8f;31b;33e;5e90;
92;31f;33c;6434;
93;31b;33b;69d8;
95;319;33c;6f7c;
97;31a;339;7524;
99;31b;339;7ac8;
9a;314;337;806c;
9d;318;337;8610;
9e;316;339;8bb8;
a0;315;336;915c;
a2;316;335;9700;
a3;311;336;9ca4;
a5;313;338;a24c;
a7;313;334;a7f0;
a9;311;332;ad94;
aa;310;332;b338;
ac;311;32f;b8e0;
ad;311;32f;be84;
b0;310;32d;c428;
b1;311;32f;c9cc;
b2;315;32f;cf74;
b4;311;32e;d518;
b6;311;328;dabc;
b7;30f;329;e060;
b9;30d;32b;e608;
ba;30f;325;ebac;
bc;312;327;f150;
be;30d;328;f6f4;
be;310;326;fc9c;
c0;30d;324;240;
c2;312;326;790;
c2;30b;323;ce0;
c4;30f;323;1230;
c4;30f;322;17d4;
c7;30d;321;1d78;
c8;30e;323;2320;
ca;30a;321;28c4;
cb;30d;31d;2e68;
cc;30c;31d;3414;
cd;30b;31e;39b4;
ce;30a;31a;3f58;
d0;30c;31b;44fc;
d1;30b;31d;4aa0;
d2;308;31b;5048;
d3;30a;319;55ec;
d3;308;318;5b90;
d6;308;319;6134;
d5;306;316;66dc;
d6;306;318;6c80;
d8;307;314;7224;
d8;304;314;77c8;
d9;303;317;7d70;
da;304;310;8314;
db;300;312;88b8;
dd;2fd;314;8e5c;
dd;300;311;9408;
dd;2fb;311;99a8;
de;2fb;312;9f4c;
df;2fe;315;a4f0;
df;2fb;311;aa98;
df;2f7;310;b03c;
e1;2fc;30f;b5e0;
e1;2f9;310;bb84;
e1;2fe;30f;c12c;
e1;2fb;310;c6d0;
e3;2fc;30d;cc74;
e3;2fa;30c;d218;
e4;2fa;311;d7c0;
e4;2fb;30e;dd64;
e5;2fd;30d;e308;
e4;2fd;30d;e8ac;
e4;2fb;30e;ee54;
e5;2fc;30d;f3f8;
e4;2fc;309;f99c;
e4;2fb;30e;ff40;
e5;2fd;30d;4e8;
e5;2fc;30b;a38;
e4;2fc;30a;f88;
e5;2fc;30b;14d8;
e5;2fa;30a;1a7c;
e4;2fc;309;2020;
e5;2fb;309;25c4;
e5;2ff;309;2b6c;
e4;2fc;30a;3110;
e5;2fa;30a;36b4;
e5;2fd;30b;3c58;
e3;2fb;309;4200;
e3;2fa;30c;47a4;
e3;2ff;30c;4d48;
e3;2fc;30c;52ec;
e2;2fa;30b;5894;
e3;2fc;308;5e38;
e2;2fc;30a;63dc;
e1;2fc;309;6980;
e0;2fc;30a;6f28;
e1;2fb;30a;74cc;
e0;2f9;308;7a70;
df;2fd;30a;801c;
df;2fb;30a;85bc;
de;2fd;30e;8b60;
dd;2fe;30b;9104;
db;2fc;30a;96a8;
db;2fc;30d;9c50;
db;2fd;305;a1f4;
da;2fc;309;a798;
d8;2fb;30d;ad3c;
d8;2fc;309;b2e4;
d7;2fc;30a;b888;
d5;2fb;30e;be2c;
d5;2fd;30b;c3d0;
d3;2fd;30c;c978;
d2;2fd;30a;cf1c;
d3;300;30a;d4c0;
d1;2fc;30b;da64;
d0;2f9;30b;e010;
ce;2fb;30a;e5b0;
ce;2fc;30b;eb54;
cd;2fb;30c;f0f8;
cb;2fc;30a;f6a0;
c9;2fb;30b;fc44;
c9;2fc;30b;1e8;
c6;2fd;309;738;
c6;2fe;30c;c88;
c5;2fc;30e;11d8;
c3;2fc;307;177c;
c2;2fa;309;1d24;
c0;2fc;30d;22c8;
bf;2fc;308;286c;
bd;2fa;30a;2e10;
bd;2fc;30a;33b8;
ba;2fa;307;395c;
b8;2f9;307;3f00;
b7;2fa;30c;44a4;
b6;2fc;30b;4a4c;
b4;2fe;30a;4ff0;
b3;2fb;309;5594;
b1;2fb;30b;5b38;
af;2fc;308;60e0;
af;2fb;30b;6684;
ad;2fb;30c;6c28;
aa;2fa;30a;71cc;
a9;2fc;30b;7774;
a6;2fb;307;7d18;
a5;2fa;30a;82bc;
a4;2fd;30a;8860;
a3;2fc;309;8e08;
a1;2fc;309;93ac;
9e;2f8;30c;9950;
9d;2fd;30b;9ef4;
9b;2fa;30a;a49c;
9a;2fa;30a;aa40;
97;2fd;307;afe4;
95;2f7;307;b588;
94;2fb;30b;bb30;
92;2fd;30a;c0d4;
90;2ff;30b;c678;
8f;2fb;30c;cc20;
8c;2fc;30b;d1c4;
8b;2fe;30b;d768;
8a;2fa;30e;dd0c;
87;2fa;30b;e2b0;
86;2fd;30a;e858;
83;2fb;30c;edfc;
82;2fb;30c;f3a0;
7f;2f9;307;f944;
7e;2fa;30a;feec;
7c;2fd;30c;490;
7b;2fb;30c;9e0;
78;2fd;30b;f30;
77;2fe;30c;1480;
74;2fd;30e;1a24;
74;2fb;30d;1fc8;
72;2fc;30e;2570;
70;2fd;30d;2b14;
6e;2fd;30e;30b8;
6c;2fe;30d;365c;
6a;2ff;30d;3c08;
69;2fd;30f;41a8;
67;2ff;30c;474c;
65;2fe;30e;4cf0;
64;300;312;5298;
61;302;311;583c;
5f;306;313;5de0;
5e;303;312;6384;
5c;304;313;692c;
5a;307;316;6ed0;
58;308;316;7474;
57;30b;319;7a18;
54;30a;319;7fc0;
52;309;31c;8564;
51;30b;31a;8b08;
4f;30b;320;90ac;
4e;30e;322;9654;
4d;311;322;9bf8;
4a;310;322;a19c;
4a;310;323;a740;
48;315;322;ace8;
46;315;326;b28c;
45;315;32a;b830;
43;317;328;bdd4;
42;318;32b;c37c;
41;318;327;c920;
3e;317;327;cec4;
3d;31a;32a;d468;
3d;317;32f;da10;
3a;318;32b;dfb4;
39;31a;332;e558;
39;319;32e;eafc;
37;31c;331;f0a4;
35;31c;333;f648;
34;31a;334;fbec;
33;319;336;190;
32;31b;336;6e0;
30;319;338;c30;
30;31a;338;1180;
2e;31c;337;1728;
2d;31b;338;1ccc;
2c;31c;339;2270;
2b;31e;33e;281c;
2a;31d;33b;2dbc;
29;31d;339;3360;
27;31c;33b;3904;
26;31e;33f;3ea8;
27;321;33f;4450;
25;320;33f;49f4;
25;31d;33f;4f98;
24;323;341;553c;
23;325;345;5ae4;
22;323;346;6088;
22;323;343;662c;
20;327;348;6bd0;
20;323;347;7178;
1f;325;348;771c;
1e;327;349;7cc0;
1e;327;349;8264;
1c;32e;346;8810;
1c;32b;34a;8db0;
1c;32b;34b;9354;
1c;32b;34a;98f8;
1b;329;34b;9ea0;
1a;32c;34c;a444;
1a;32c;34e;a9e8;
1a;32b;34f;af8c;
1a;32b;34e;b534;
1b;32d;34d;bad8;
1a;32c;34e;c07c;
1a;32b;34f;c620;
19;32c;34f;cbc8;
18;32c;350;d16c;
19;329;350;d710;
19;32c;351;dcb4;
19;32b;353;e25c;
19;32a;351;e804;
19;32c;351;eda4;
19;32b;352;f348;
1a;32a;353;f8f0;
19;32e;352;fe94;
19;32c;354;438;
19;32a;354;988;
1a;32c;356;ed8;
1a;32d;357;1428;
1a;329;356;19cc;
1b;32e;355;1f74;
1b;32b;356;2518;
1b;32b;357;2abc;
1c;32b;356;3060;
1c;32c;355;3608;
1d;32b;356;3bac;
1e;32b;35a;4150;
1e;32c;357;46f4;
1f;32c;358;4c9c;
20;32d;354;5240;
20;32c;357;57e4;
21;32b;359;5d88;
21;32c;357;6330;
22;32e;357;68d4;
24;329;359;6e78;
24;32d;357;7420;
25;32d;35b;79c4;
26;32a;357;7f68;
27;32c;358;850c;
27;32c;358;8ab0;
28;32c;358;9058;
29;32e;354;95fc;
29;32e;355;9ba0;
2b;32c;356;a144;
2d;32c;354;a6ec;
2e;32d;357;ac90;
2f;32b;359;b234;
2f;32d;358;b7d8;
31;32c;357;bd80;
32;32b;356;c324;
33;32b;357;c8c8;
35;32b;357;ce6c;
36;32d;357;d418;
37;32a;359;d9b8;
38;32c;357;df5c;
3a;32c;355;e500;
3c;32d;357;eaa8;
3c;32c;357;f04c;
3e;32b;358;f5f0;
40;32d;355;fb94;
41;32c;356;13c;
42;32c;357;68c;
44;32b;356;bdc;
45;32c;357;112c;
47;32a;357;16d0;
49;32e;353;1c74;
49;32a;353;2218;
4c;32b;356;27c0;
4d;32e;353;2d64;
4f;32f;353;3308;
51;32a;354;38ac;
52;32c;352;3e54;
54;32a;353;43f8;
56;32b;354;499c;
57;329;351;4f40;
58;32c;352;54e8;
5b;32a;34f;5a8c;
5d;32a;350;6030;
5e;32a;351;65d4;
60;327;34f;6b7c;
62;325;352;7120;
63;324;34f;76c4;
65;327;34d;7c68;
68;328;34f;8210;
69;325;34f;87b4;
6b;322;350;8d58;
6c;321;34a;92fc;
6f;322;34d;98a4;
71;322;34b;9e48;
72;320;34b;a3ec;
74;321;349;a990;
76;31f;34a;af38;
77;31e;348;b4dc;
79;320;347;ba80;
7b;31e;347;c024;
7d;320;345;c5cc;
7f;31f;343;cb70;
81;31e;344;d114;
82;320;344;d6b8;
84;31f;342;dc60;
86;31b;343;e204;
88;31e;343;e7a8;
8a;320;341;ed4c;
8c;31b;340;f2f4;
8e;31c;33d;f898;
90;31c;33f;fe3c;
92;31a;33d;3e0;
93;318;33b;930;
95;31c;33c;e80;
97;318;33a;13d0;
97;31a;33c;1978;
9a;317;339;1f1c;
9b;316;33a;24c0;
9e;314;338;2a64;
a0;316;338;3010;
a1;311;337;35b0;
a3;314;332;3b54;
a4;314;333;40f8;
a7;312;332;46a0;
a7;313;333;4c44;
aa;30f;332;51e8;
ac;313;330;578c;
ad;313;32f;5d34;
af;313;32d;62d8;
b0;312;331;687c;
b2;312;32d;6e20;
b3;312;32b;73c8;
b5;312;32e;796c;
b7;311;329;7f10;
b8;30f;32c;84b4;
ba;30e;327;8a5c;
bb;312;32a;9004;
bd;30f;327;95a4;
bf;30e;326;9b48;
bf;311;325;a0f0;
c2;30d;323;a694;
c3;30d;324;ac38;
c4;30f;324;b1dc;
c5;30d;323;b784;
c6;30c;323;bd28;
c8;30a;31f;c2cc;
c8;30d;31f;c870;
cb;309;31d;ce18;
cc;30a;31d;d3bc;
cc;30b;31b;d960;
ce;30a;31c;df04;
cf;30b;31e;e4ac;
d0;30a;319;ea50;
d2;30b;319;eff4;
d3;30b;319;f598;
d4;308;319;fb40;
d5;307;319;e4;
d6;305;317;5e0;
d6;30a;318;b30;
d8;304;315;1080;
d8;303;315;1624;
d9;303;317;1bc8;
d9;303;315;216c;
da;301;315;2714;
dc;2ff;313;2cb8;
dc;302;314;325c;
de;2fd;313;3808;
de;2fe;314;3da8;
df;2fc;30f;434c;
df;2fc;313;48f0;
df;2f9;312;4e94;
e0;2fb;311;543c;
e1;2fb;312;59e0;
e0;2fb;30f;5f84;
e1;2fb;310;6528;
e3;2fb;30f;6ad0;
e3;2fd;30e;7074;
e3;2fb;30d;7618;
e3;2fb;310;7bbc;
e4;2fb;310;8164;
e4;2fe;30d;8708;
e4;2fc;30c;8cac;
e4;2f9;30e;9250;
e5;2fc;30d;97f8;
e5;2fd;30b;9d9c;
e5;2fa;30d;a340;
e6;2fd;30a;a8e4;
e5;2fc;30b;ae8c;
e5;2f9;30b;b430;
e5;2fc;30a;b9d4;
e5;2fb;308;bf78;
e5;2fc;30a;c520;
e5;2fa;308;cac4;
e5;2fd;30a;d068;
e5;2f8;30b;d60c;
e3;2fa;309;dbb4;
e3;2fc;30b;e158;
e4;2fa;30c;e6fc;
e4;2fd;308;eca0;
e3;2f9;30b;f248;
e3;2fa;309;f7ec;
e2;2fb;309;fd90;
e2;2fc;30e;334;
e2;2fd;30c;884;
e1;2f9;30b;dd4;
e1;2fb;30b;1324;
e0;2fa;30c;18cc;
e0;2fc;30a;1e70;
de;2fc;30b;241c;
de;2f8;30c;29b8;
dd;2fc;30b;2f60;
dd;2fa;30c;3504;
dc;2fd;30c;3aa8;
db;2fe;308;404c;
da;2fa;30d;45f4;
d9;2fb;30b;4b98;
d9;2fd;309;513c;
d6;2fa;309;56e0;
d6;2f9;309;5c88;
d5;2fb;30a;622c;
d4;2f8;30b;67d0;
d4;2fb;30a;6d74;
d2;2fb;309;731c;
d1;2fa;30a;78c0;
d1;2fc;30b;7e64;
cf;2fc;309;8410;
cd;2fb;30d;89b0;
ce;2fb;30b;8f54;
cb;2fa;308;94f8;
cb;2fc;30a;9a9c;
ca;2fa;30c;a044;
c7;2fc;309;a5e8;
c7;2f7;30b;ab8c;
c5;2fa;30a;b130;
c4;2fb;30a;b6d8;
c3;2fb;30a;bc7c;
c1;2fd;309;c220;
c0;2fd;309;c7c4;
be;2fc;30b;cd6c;
bd;2fa;30b;d310;
bb;2fc;30c;d8b4;
b9;2fb;309;de58;
b8;2fe;308;e404;
b7;2fb;309;e9a4;
b5;2fa;30b;ef48;
b3;2f9;30b;f4ec;
b2;2fc;309;fa94;
b0;2fb;30a;38;
af;2fd;30c;534;
ad;2fb;309;a84;
ac;2fe;30b;fd4;
aa;2fd;307;1524;
a8;2fa;30b;1ac8;
a6;2fa;309;206c;
a5;2fb;30a;2610;
a3;2fd;309;2bb8;
a2;2fd;30a;315c;
9f;2fc;309;3700;
9f;2fa;30b;3ca4;
9c;2f9;30b;424c;
9a;2fc;30b;47f0;
98;2f9;30c;4d94;
97;2f7;30a;5338;
95;2fb;30b;58e0;
93;2fa;30a;5e84;
91;2fe;30a;6428;
8f;2fd;309;69cc;
8d;2fc;30d;6f74;
8c;2fc;30c;7518;
8a;2fb;30e;7abc;
89;2fb;30d;8060;
86;2fc;309;8608;
84;2fc;309;8bac;
83;2f9;30a;9150;
80;2fc;30b;96f4;
7f;2fe;30b;9c9c;
7e;2fb;30c;a240;
7b;2fd;30a;a7e4;
79;2fc;30b;ad88;
78;2fb;309;b330;
76;2fc;30a;b8d4;
74;2fb;30d;be78;
72;2f8;30e;c420;
70;2fc;309;c9c4;
6e;2fd;30e;cf68;
6d;2fd;30e;d50c;
6b;2fd;310;dab0;
69;300;30e;e058;
67;2fe;30e;e5fc;
66;302;313;eba0;
63;2fd;310;f144;
62;300;314;f6ec;
60;303;314;fc90;
5d;304;313;234;
5c;302;313;784;
5a;305;318;cd4;
59;30b;315;1224;
58;309;316;17c8;
56;30a;315;1d70;
54;30a;31b;2314;
53;30b;31c;28b8;
51;30e;31b;2e5c;
4f;30b;31f;3408;
4e;30c;31e;39a8;
4c;310;321;3f4c;
4a;312;322;44f0;
49;310;323;4a98;
47;314;323;503c;
45;315;327;55e0;
44;315;327;5b84;
42;316;328;612c;
41;315;329;66d0;
40;316;32b;6c74;
3e;314;32a;7218;
3d;31c;32d;77c0;
3b;319;330;7d64;
3a;31a;330;8308;
39;319;331;88ac;
38;31a;334;8e54;
36;31b;330;93f8;
34;31a;336;999c;
34;31a;335;9f40;
32;31d;334;a4e8;
31;31c;336;aa8c;
30;31c;338;b030;
2f;31b;338;b5d4;
2d;31d;339;bb7c;
2d;31c;33e;c120;
2b;31a;33b;c6c4;
2a;31e;33b;cc68;
2a;31d;33e;d210;
28;320;33d;d7b4;
27;320;33d;dd58;
27;321;340;e2fc;
25;322;341;e8a4;
24;31f;33f;ee48;
23;321;344;f3ec;
22;322;343;f990;
22;324;342;ff38;
22;325;345;4dc;
20;326;345;a2c;
20;32a;346;f7c;
20;327;346;14cc;
1f;326;349;1a70;
1e;328;349;201c;
1d;328;349;25bc;
1c;32b;347;2b60;
1d;329;349;3104;
1c;328;348;36a8;
1b;32e;34c;3c50;
1b;32a;34d;41f4;
1b;327;34d;4798;
1a;327;34e;4d3c;
1a;329;34e;52e4;
1a;32b;34e;5888;
19;32b;34d;5e2c;
19;32a;34f;63d0;
1a;329;351;6978;
18;32c;34e;6f1c;
18;32b;34e;74c0;
18;32e;352;7a64;
19;32d;355;8010;
19;32d;353;85b0;
19;329;352;8b54;
19;32b;355;90f8;
19;32d;355;96a0;
19;32b;354;9c44;
1a;32b;354;a1e8;
19;32c;354;a78c;
1a;32e;355;ad34;
1a;330;353;b2d8;
1b;329;356;b87c;
1a;32c;357;be20;
1b;32b;357;c3c8;
1b;32c;357;c96c;
1c;32b;357;cf10;
1d;32c;355;d4b4;
1b;32b;357;da5c;
1d;32b;357;e008;
1e;32c;357;e5a4;
1e;32d;355;eb48;
20;329;358;f0f0;
20;32c;357;f694;
20;32b;358;fc38;
22;32e;357;1dc;
22;329;35a;72c;
22;32d;357;c7c;
24;32b;356;11cc;
23;32d;35a;1774;
25;32b;359;1d18;
26;32b;358;22bc;
27;32b;358;2860;
28;32d;357;2e08;
29;32c;358;33ac;
29;32b;35b;3950;
2b;32c;357;3ef4;
2b;32e;359;449c;
2e;32e;356;4a40;
2e;32d;356;4fe4;
2f;32c;356;5588;
30;32d;357;5b30;
32;32c;35a;60d4;
32;32d;35a;6678;
33;32c;356;6c20;
35;32c;357;71c4;
37;32d;35b;7768;
39;32e;355;7d0c;
39;32f;358;82b0;
3b;32b;356;8858;
3c;32c;357;8dfc;
3e;32d;357;93a0;
3e;32b;35b;9944;
40;32c;357;9eec;
42;32c;356;a490;
43;32a;356;aa34;
44;32d;357;afd8;
46;32d;356;b580;
47;32b;355;bb24;
4a;32d;356;c0c8;
4b;32b;353;c66c;
4c;32b;355;cc18;
4e;32c;356;d1b8;
50;32c;352;d75c;
51;32c;355;dd00;
54;32e;352;e2a8;
55;329;351;e84c;
56;329;353;edf0;
59;32c;351;f394;
5a;32a;353;f93c;
5c;329;34e;fee0;
5e;32a;350;484;
5f;328;34f;9d4;
61;326;352;f24;
63;329;350;1474;
63;326;34f;1a18;
66;324;34e;1fc0;
68;325;34d;2564;
6a;323;34d;2b08;
6c;322;34f;30ac;
6d;322;34b;3654;
6f;323;34b;3bf8;
71;321;34c;419c;
73;324;348;4740;
74;320;34a;4ce8;
76;321;346;528c;
79;321;349;5830;
7a;31f;347;5dd4;
7d;31c;345;637c;
7e;31e;347;6920;
7f;31e;346;6ec4;
82;31f;346;7468;
84;31f;344;7a10;
85;31c;344;7fb4;
87;31b;342;8558;
89;31b;343;8afc;
8b;31d;33f;90a4;
8d;31b;340;9648;
8f;31c;33d;9bec;
90;31c;33b;a190;
92;31a;33d;a738;
94;319;33c;acdc;
96;31a;33b;b280;
97;31b;33e;b824;
99;318;33c;bdcc;
9b;316;33a;c370;
9d;315;33a;c914;
9e;312;333;ceb8;
a1;314;335;d460;
a2;314;334;da04;
a4;312;336;dfa8;
a5;313;334;e54c;
a8;312;332;eaf4;
a9;313;333;f098;
ab;312;32f;f63c;
ad;313;334;fbe0;
af;310;331;188;
af;30f;32c;6d8;
b1;311;32d;c28;
b2;313;32c;1178;
b5;310;32d;171c;
b6;310;32c;1cc0;
b7;312;32b;2264;
b9;30f;328;2810;
b9;30e;327;2db0;
bc;313;329;3354;
be;310;328;38f8;
be;312;325;3ea0;
c0;310;326;4444;
c2;30e;323;49e8;
c3;30e;324;4f8c;
