9328;348;9b60;
5e;32c;350;8de8;
60;32b;34f;938c;
62;32a;34f;9934;
64;32a;34f;9ed8;
64;32b;353;a47c;
67;328;350;aa20;
69;329;34f;afc8;
6a;328;34e;b56c;
6c;327;34e;bb10;
6f;326;347;c0b4;
70;325;34b;c65c;
71;323;349;cc04;
74;325;349;d1a4;
75;324;348;d748;
78;321;347;dcf0;
79;322;347;e294;
7b;321;34b;e838;
7c;31f;348;eddc;
7f;320;348;f384;
80;31e;346;f928;
82;31e;344;fecc;
84;31f;344;470;
87;31b;345;9c0;
87;31e;343;f10;
8a;31f;342;1460;
8b;320;342;1a08;
8e;31c;342;1fac;
8f;31e;340;2550;
91;320;33f;2af4;
93;31e;33b;309c;
93;31d;33f;3640;
96;320;33b;3be4;
99;31b;33b;4188;
9a;320;33a;4730;
9b;31c;33b;4cd4;
9e;31c;33a;5278;
9f;31c;339;5820;
a0;31b;339;5dc4;
a3;318;336;6368;
a5;319;334;690c;
a6;317;336;6eb0;
a8;313;334;7458;
aa;317;332;79fc;
aa;316;331;7fa0;
ad;311;333;8544;
ae;314;330;8aec;
b0;312;330;9090;
b3;311;332;9634;
b3;312;330;9bd8;
b5;310;32d;a180;
b5;310;32d;a724;
b8;311;32b;acc8;
ba;312;32f;b26c;
bb;310;32a;b818;
bc;30f;32b;bdb8;
be;312;326;c35c;
c0;310;32b;c900;
c1;313;326;cea8;
c3;313;326;d44c;
c4;30d;327;d9f0;
c5;311;325;df94;
c6;310;324;e53c;
c7;30f;324;eae0;
ca;311;322;f084;
ca;30f;31f;f628;
cc;30f;321;fbd0;
cd;30e;31f;174;
ce;30f;320;6c4;
cf;311;31e;c18;
d0;312;31a;1164;
d1;30f;320;1708;
d2;30f;31d;1cac;
d3;30f;31b;2254;
d4;30d;31b;27f8;
d5;30d;31b;2d9c;
d6;30f;319;3340;
d6;30a;317;38e8;
d8;309;318;3e8c;
da;30c;316;4430;
d9;309;31a;49d4;
da;307;315;4f7c;
dc;308;315;5520;
dd;307;315;5ac4;
dd;304;314;6068;
dd;304;313;6610;
de;305;311;6bb4;
df;303;312;7158;
e0;304;312;76fc;
df;300;30f;7ca4;
e0;2fd;310;8248;
e2;300;30f;87ec;
e2;2fd;30f;8d90;
e3;2fb;30d;9338;
e3;2fd;30c;98dc;
e2;2fd;30b;9e80;
e4;2fb;30e;a424;
e4;2fb;30c;a9cc;
e3;2fb;30a;af70;
e4;2f9;30b;b514;
e4;2fc;30b;bab8;
e5;2fb;30f;c060;
e5;2fa;30c;c604;
e5;2fa;30e;cba8;
e4;2fe;30b;d14c;
e5;2fb;30c;d6f4;
e5;2fd;30e;dc98;
e4;2fb;309;e23c;
e5;2f9;30b;e7e0;
e4;2fd;30d;ed88;
e5;2fc;30b;f32c;
e5;2fa;30a;f8d0;
e4;2f9;30b;fe74;
e4;2fb;30b;420;
e3;2fb;30a;96c;
e3;2f7;309;ebc;
e3;2fd;309;1410;
e4;2fc;30a;19b0;
e3;2fb;309;1f54;
e1;2fb;309;24f8;
e1;2f9;309;2aa0;
e2;2fb;308;3044;
e1;2fd;30a;35e8;
e1;2fc;30a;3b8c;
e0;2fc;309;4134;
df;2fb;30d;46d8;
df;2f9;309;4c7c;
de;2fd;30a;5220;
dd;2fe;309;57c8;
dd;2fc;30a;5d6c;
db;2fb;307;6310;
da;2fc;30c;68b4;
da;2fb;30a;6e5c;
d9;2fb;309;7404;
d9;2f9;309;79a4;
d8;2f9;30a;7f48;
d7;2fa;309;84f0;
d5;2fe;309;8a94;
d4;2f8;309;9038;
d4;2fc;309;95dc;
d3;2f8;309;9b84;
d1;2f9;30a;a128;
d0;2fb;309;a6cc;
ce;2fc;308;ac70;
cd;2fa;30a;b218;
cc;2fb;309;b7bc;
cc;2fa;306;bd60;
c9;2fa;30a;c304;
c9;2fd;30a;c8ac;
c8;2fc;309;ce50;
c7;2fe;308;d3f4;
c5;2fe;30c;d998;
c4;2fb;30d;df40;
c3;2f9;308;e4e4;
c0;2fb;307;ea88;
bf;2fd;30b;f02c;
be;2fd;30b;f5d4;
bc;2fb;30a;fb78;
ba;2fb;30c;11c;
ba;2fb;30d;66c;
b8;2fb;30a;bbc;
b6;2fe;30c;110c;
b5;2fb;30b;16b0;
b4;2fe;309;1c58;
b2;2f9;30b;21fc;
b0;2f9;30c;27a0;
af;2fc;307;2d44;
ad;2fb;309;32ec;
ab;2fb;30b;3890;
aa;2fc;308;3e34;
a7;2fa;309;43d8;
a6;2fb;30a;4980;
a4;2fb;309;4f24;
a2;2fb;30c;54c8;
a1;2fb;30c;5a6c;
9f;2fc;308;6018;
9d;2fc;30b;65b8;
9b;2fa;30a;6b5c;
9a;2fb;309;7100;
99;2fd;30a;76a8;
97;2f9;30e;7c4c;
94;2fd;309;81f0;
93;2fc;30b;8794;
91;2f9;30b;8d3c;
8f;2fc;30c;92e0;
8d;2f9;30e;9884;
8b;2fb;30d;9e28;
8a;2fc;30a;a3d0;
88;2fc;30d;a974;
86;2fb;30b;af18;
84;2fc;308;b4bc;
82;2fc;30b;ba64;
80;2fb;30b;c00c;
7e;2fc;309;c5ac;
7c;2fb;30b;cb50;
7b;2fb;30c;d0f8;
79;2fb;30f;d69c;
77;2fe;30c;dc40;
76;2fd;30c;e1e4;
74;2fc;30b;e78c;
71;2fc;30d;ed30;
70;2ff;310;f2d4;
6e;2fb;310;f878;
6c;2ff;30f;fe20;
6a;2fb;312;3c4;
69;2fc;313;914;
67;300;312;e64;
66;2ff;314;13b4;
64;2ff;316;1958;
62;2ff;313;1efc;
60;300;318;24a4;
5f;307;314;2a48;
5c;304;318;2fec;
5a;303;317;3590;
59;306;318;3b38;
57;308;31d;40dc;
56;307;31c;4680;
54;30a;31d;4c24;
52;309;322;51cc;
51;30b;321;5770;
4f;30e;31f;5d14;
4d;30c;31f;62b8;
4c;30e;324;6860;
4a;312;325;6e04;
49;314;325;73a8;
47;311;325;794c;
45;316;327;7ef4;
43;313;327;8498;
42;315;329;8a3c;
41;318;32c;8fe0;
3f;319;330;9588;
3f;319;32f;9b2c;
3d;31c;32f;a0d0;
3a;31a;332;a674;
3a;31b;330;ac20;
38;319;333;b1c0;
37;31c;333;b764;
36;31b;335;bd08;
34;31a;334;c2b0;
33;31b;33a;c854;
32;317;334;cdf8;
30;31b;339;d39c;
30;318;33d;d944;
2e;31a;33c;dee8;
2d;320;339;e48c;
2b;31e;33a;ea30;
2b;31d;33d;efd8;
2a;31e;33d;f57c;
29;31e;340;fb20;
29;320;33f;c4;
27;31f;340;5c0;
27;31f;341;b10;
26;31e;342;1060;
24;324;33f;1604;
24;31f;344;1bac;
23;324;340;2150;
23;325;343;26f4;
22;325;344;2c98;
21;327;344;3240;
20;328;347;37e4;
20;327;348;3d88;
1f;329;348;432c;
1e;329;349;48d4;
1e;329;34a;4e78;
1e;32a;348;5420;
1d;328;34b;59c0;
1c;329;34c;5f68;
1c;32c;349;650c;
1b;32a;34c;6ab0;
1a;329;34e;7054;
19;32c;34a;75fc;
1a;32a;34d;7ba0;
1a;32b;34c;8144;
1a;327;34f;86e8;
19;32b;34f;8c90;
1a;32a;34d;9234;
1a;32a;34f;97d8;
19;32c;34e;9d7c;
18;327;350;a324;
19;32a;34e;a8c8;
18;32e;352;ae6c;
1a;32b;351;b418;
19;32d;354;b9b8;
18;32c;356;bf5c;
1a;329;354;c500;
1a;329;354;caa4;
19;32c;357;d04c;
1a;32b;355;d5f0;
19;32b;354;db94;
1a;32b;354;e138;
1c;32b;357;e6e0;
1b;32c;355;ec84;
1b;32e;357;f228;
1c;32b;357;f7cc;
1c;32a;355;fd74;
1d;32b;357;318;
1d;330;354;868;
1e;329;357;db8;
1e;32b;355;1308;
1f;32a;356;18ac;
20;327;357;1e50;
20;32d;356;23f8;
22;32c;35b;299c;
21;32b;356;2f40;
23;32c;356;34e4;
24;32c;358;3a8c;
24;32b;355;4030;
25;32c;359;45d4;
26;328;357;4b78;
27;32b;35a;5120;
27;32c;355;56c4;
28;328;35c;5c68;
2a;329;356;620c;
2a;32c;35b;67b4;
2d;329;35a;6d58;
2e;32a;358;72fc;
2e;32c;355;78a0;
2f;327;35b;7e48;
31;32c;359;83ec;
32;32c;359;8990;
33;32b;357;8f34;
34;32b;356;94dc;
35;32a;356;9a80;
37;32a;356;a024;
38;32c;357;a5c8;
3a;32c;358;ab70;
3b;32c;358;b114;
3c;32f;358;b6b8;
3e;329;355;bc5c;
40;329;357;c204;
40;32b;356;c7a8;
42;32c;356;cd4c;
44;32b;359;d2f0;
45;32c;354;d898;
46;32c;356;de3c;
48;32c;358;e3e0;
4a;32c;354;e984;
4b;32a;354;ef2c;
4d;32b;357;f4d0;
4e;32c;354;fa74;
50;32c;355;20;
51;32c;353;514;
53;32c;354;a64;
55;32b;352;fb4;
55;32c;352;1504;
58;32a;353;1aa8;
5a;32b;354;2050;
5b;32c;353;25f4;
5c;327;354;2b98;
60;32a;351;313c;
60;329;351;36e4;
63;328;34f;3c88;
65;329;34d;422c;
65;328;34d;47d0;
68;326;34e;4d78;
6a;328;34e;531c;
6b;328;34d;58c0;
6d;325;34c;5e64;
6f;325;34b;6410;
71;326;34a;69b0;
73;321;34e;6f54;
75;323;348;74f8;
76;322;34a;7aa0;
78;321;349;8044;
7a;321;348;85e8;
7c;321;34a;8b8c;
7e;31e;346;9134;
80;31f;347;96d8;
81;31f;346;9c7c;
83;31b;345;a220;
86;31f;346;a7c8;
87;320;341;ad6c;
89;31c;340;b310;
8b;320;340;b8b4;
8c;31f;341;be5c;
8e;31d;340;c404;
90;31d;33d;c9a4;
92;31d;33c;cf48;
94;319;33d;d4f0;
95;31d;33d;da94;
97;31b;33b;e038;
9a;319;33d;e5dc;
9a;31c;338;eb84;
9d;31b;33b;f128;
9f;316;338;f6cc;
a0;31a;338;fc70;
a1;318;336;218;
a4;317;335;768;
a5;315;335;cb8;
a6;318;333;1208;
a9;315;334;17ac;
ab;314;333;1d50;
ab;315;332;22f4;
ad;312;330;289c;
af;313;330;2e40;
b1;310;32f;33e4;
b3;311;32f;3988;
b5;311;32f;3f30;
b5;311;32d;44d4;
b8;311;32e;4a78;
b9;311;329;5020;
ba;311;32b;55c4;
bb;30f;32a;5b68;
be;314;328;610c;
be;310;327;66b0;
c1;30d;327;6c58;
c2;311;328;71fc;
c2;30e;322;77a0;
c5;30e;326;7d44;
c5;30e;325;82ec;
c7;311;322;8890;
c9;30d;321;8e34;
c9;310;321;93d8;
ca;310;31f;9980;
cc;30d;320;9f24;
ce;310;31c;a4c8;
ce;312;31f;aa6c;
cf;30e;31b;b018;
d1;30d;31e;b5b8;
d2;30c;31d;bb5c;
d3;30b;31f;c100;
d4;30c;31a;c6a8;
d4;30a;31a;cc4c;
d5;30a;319;d1f0;
d6;309;319;d794;
d8;30a;319;dd3c;
d9;308;319;e2e0;
da;308;313;e884;
da;307;317;ee28;
db;303;313;f3d0;
dc;303;312;f974;
dd;305;314;ff18;
dd;301;315;4bc;
de;2fe;312;a0c;
de;301;315;f5c;
e0;2fc;314;14ac;
df;2fd;310;1a54;
e1;2fd;310;1ff8;
e1;2f9;310;259c;
e1;2ff;30f;2b40;
e1;2f8;30e;30e8;
e2;2fb;311;368c;
e3;2fa;30d;3c30;
e3;2fc;310;41d4;
e4;2f9;30f;477c;
e4;2fb;30d;4d20;
e4;2fc;30c;52c4;
e5;2f7;30e;5868;
e5;2fc;30e;5e10;
e5;2fc;30b;63b4;
e4;2fb;30e;6958;
e6;2fb;30a;6efc;
e5;2fa;30c;74a4;
e5;2fb;309;7a48;
e5;2fb;30a;7fec;
e5;2fb;30b;8590;
e5;2fb;30a;8b38;
e5;2fc;30a;90dc;
e5;2fc;309;9680;
e5;2fb;30c;9c24;
e5;2fc;30a;a1cc;
e4;2fe;30b;a770;
e4;2fa;308;ad14;
e4;2fa;309;b2b8;
e3;2fa;308;b860;
e3;2fa;30c;be04;
e3;2fb;30a;c3a8;
e2;2fe;30b;c94c;
e2;2fb;30a;cef4;
e1;2fb;30d;d498;
e1;2fd;30b;da3c;
e0;2fb;30d;dfe0;
e0;2fd;30b;e588;
df;2fa;30d;eb2c;
de;2fb;30d;f0d0;
dd;2fc;308;f674;
dc;2fc;30a;fc20;
dc;2f9;30d;1c0;
db;2fc;309;710;
db;2fc;309;c60;
d9;2fc;30a;11b0;
d8;2fa;309;1754;
d8;2fa;308;1cf8;
d6;2f8;30c;22a0;
d6;2fd;307;2844;
d4;2fd;309;2de8;
d4;2f9;308;338c;
d3;2fb;30d;3934;
d2;2fb;307;3ed8;
d1;2fa;30c;447c;
cf;2f9;30a;4a20;
cf;2fc;30e;4fc8;
cd;2f8;308;556c;
cc;2fb;30c;5b10;
cc;2fe;30a;60b4;
ca;2f8;30a;665c;
c8;2fa;309;6c04;
c7;2fb;30b;71a4;
c5;2f9;30e;7748;
c5;2fc;30a;7cf0;
c3;2fb;30b;8294;
c2;2f8;30e;8838;
c0;2fc;309;8ddc;
bf;2fc;30b;9384;
bd;2f8;30d;9928;
bc;2fd;307;9ecc;
ba;2fe;308;a470;
b9;2fb;30a;aa18;
b7;2fc;30a;afbc;
b6;2f9;30c;b560;
b5;2f9;30b;bb04;
b3;2fc;308;c0ac;
b1;2fc;30b;c650;
b0;2f9;30f;cbf4;
ae;2f8;30b;d198;
ac;2fc;309;d740;
ab;2fa;30c;dce4;
a8;2fd;30d;e288;
a7;2f9;30b;e82c;
a5;2fb;30c;edd4;
a4;2f9;309;f378;
a1;2fc;309;f91c;
a0;2f8;30c;fec0;
9f;2fb;30a;468;
9d;2fc;30c;9b8;
9b;2f9;30a;f08;
9a;2fb;30b;1458;
98;2fc;30b;19fc;
96;2fa;30c;1fa0;
94;2fa;30b;2544;
92;2fc;30b;2aec;
91;2f9;309;3090;
8f;2fa;30e;3634;
8d;2f9;30d;3bd8;
8b;2fb;30c;4180;
89;2fc;30d;4724;
87;2fb;30c;4cc8;
86;2fd;30a;526c;
83;2fc;30b;5818;
81;2fc;30c;5db8;
80;2fa;30d;635c;
7e;2fc;30d;6900;
7c;2fa;30d;6ea8;
7b;2fa;30a;744c;
79;2f9;30d;79f0;
76;2fc;30e;7f94;
75;2fb;30e;853c;
72;2fc;30e;8ae0;
71;2fd;30b;9084;
6f;2fd;311;9628;
6e;2ff;310;9bd0;
6b;2fd;311;a174;
6a;2fb;314;a718;
