x-axis,1,2,3
second,Volt,Volt,Volt
-1.787500E+00,+1.110553E+00,+628.141E-03,+14.246231E+00
-1.785000E+00,+1.190955E+00,+547.739E-03,+14.648241E+00
-1.782500E+00,+1.329146E+00,+668.342E-03,+15.527638E+00
-1.780000E+00,+1.472362E+00,+628.141E-03,+15.854271E+00
-1.777500E+00,+1.633166E+00,+748.744E-03,+15.163317E+00
-1.775000E+00,+1.753769E+00,+773.869E-03,+13.844221E+00
-1.772500E+00,+1.914573E+00,+821.608E-03,+13.643216E+00
-1.770000E+00,+2.075377E+00,+1.015075E+00,+13.919598E+00
-1.767500E+00,+2.195980E+00,+1.070352E+00,+13.643216E+00
-1.765000E+00,+2.396985E+00,+1.311558E+00,+13.643216E+00
-1.762500E+00,+2.517588E+00,+1.336683E+00,+13.241206E+00
-1.760000E+00,+2.678392E+00,+1.530151E+00,+13.442211E+00
-1.757500E+00,+2.839196E+00,+1.618090E+00,+13.316583E+00
-1.755000E+00,+2.984925E+00,+1.771357E+00,+8.894472E+00
-1.752500E+00,+3.120603E+00,+2.020101E+00,+9.497487E+00
-1.750000E+00,+3.256281E+00,+2.052764E+00,+10.025126E+00
-1.747500E+00,+3.402010E+00,+2.396985E+00,+9.133166E+00
-1.745000E+00,+3.522613E+00,+2.422111E+00,+10.741206E+00
-1.742500E+00,+3.643216E+00,+2.615578E+00,+11.344221E+00
-1.740000E+00,+3.763819E+00,+2.798995E+00,+13.844221E+00
-1.737500E+00,+3.884422E+00,+2.839196E+00,+13.555276E+00
-1.735000E+00,+3.987437E+00,+3.000000E+00,+13.442211E+00
-1.732500E+00,+4.060301E+00,+3.015075E+00,+14.120603E+00
-1.730000E+00,+4.125628E+00,+3.175879E+00,+14.045226E+00
-1.727500E+00,+4.221106E+00,+3.183417E+00,+14.158292E+00
-1.725000E+00,+4.268844E+00,+3.376884E+00,+12.437186E+00
-1.722500E+00,+4.326633E+00,+3.424623E+00,+10.138191E+00
-1.720000E+00,+4.326633E+00,+3.522613E+00,+9.133166E+00
-1.717500E+00,+4.341709E+00,+3.683417E+00,+10.226131E+00
-1.715000E+00,+4.366834E+00,+3.698492E+00,+10.025126E+00
-1.712500E+00,+4.366834E+00,+3.819095E+00,+9.698492E+00
-1.710000E+00,+4.341709E+00,+3.804020E+00,+9.095477E+00
-1.707500E+00,+4.326633E+00,+3.924623E+00,+9.334171E+00
-1.705000E+00,+4.268844E+00,+3.932161E+00,+9.095477E+00
-1.702500E+00,+4.228643E+00,+3.964824E+00,+8.932161E+00
-1.700000E+00,+4.140704E+00,+3.987437E+00,+7.286432E+00
-1.697500E+00,+4.085427E+00,+3.899497E+00,+6.444724E+00
-1.695000E+00,+4.005025E+00,+4.005025E+00,+4.798995E+00
-1.692500E+00,+3.907035E+00,+3.884422E+00,+2.474874E+00
-1.690000E+00,+3.778894E+00,+3.979899E+00,+866.834E-03
-1.687500E+00,+3.683417E+00,+3.859296E+00,-2.148241E+00
-1.685000E+00,+3.562814E+00,+3.939698E+00,-3.266332E+00
-1.682500E+00,+3.442211E+00,+3.932161E+00,-6.733668E+00
-1.680000E+00,+3.281407E+00,+3.924623E+00,-4.886935E+00
-1.677500E+00,+3.160804E+00,+3.964824E+00,-4.648241E+00
-1.675000E+00,+3.015075E+00,+3.819095E+00,-4.195980E+00
-1.672500E+00,+2.856784E+00,+3.844221E+00,-1.143216E+00
-1.670000E+00,+2.718593E+00,+3.577889E+00,-25.126E-03
-1.667500E+00,+2.575377E+00,+3.562814E+00,+2.035176E+00
-1.665000E+00,+2.396985E+00,+3.241206E+00,+3.479899E+00
-1.662500E+00,+2.261307E+00,+3.201005E+00,+4.359296E+00
-1.660000E+00,+2.115578E+00,+2.864322E+00,+2.587940E+00
-1.657500E+00,+1.954774E+00,+2.798995E+00,+904.523E-03
-1.655000E+00,+1.834171E+00,+2.582915E+00,-628.141E-03
-1.652500E+00,+1.658291E+00,+2.469849E+00,-2.236181E+00
-1.650000E+00,+1.512563E+00,+2.422111E+00,-2.663317E+00
-1.647500E+00,+1.369347E+00,+2.253769E+00,-4.723618E+00
-1.645000E+00,+1.231156E+00,+2.236181E+00,-7.663317E+00
-1.642500E+00,+1.110553E+00,+2.020101E+00,-8.417086E+00
-1.640000E+00,+1.015075E+00,+2.115578E+00,-6.658292E+00
-1.637500E+00,+909.548E-03,+1.899497E+00,-6.809045E+00
-1.635000E+00,+806.533E-03,+1.954774E+00,-6.859297E+00
-1.632500E+00,+708.543E-03,+1.713568E+00,-5.891960E+00
-1.630000E+00,+628.141E-03,+1.690955E+00,-4.648241E+00
-1.627500E+00,+572.864E-03,+1.537688E+00,-3.278895E+00
-1.625000E+00,+507.538E-03,+1.391960E+00,-2.035176E+00
-1.622500E+00,+467.337E-03,+1.336683E+00,-1.909548E+00
-1.620000E+00,+452.261E-03,+1.135678E+00,-1.545226E+00
-1.617500E+00,+412.060E-03,+1.110553E+00,-2.512563E+00
-1.615000E+00,+412.060E-03,+967.337E-03,-2.638191E+00
-1.612500E+00,+427.136E-03,+989.950E-03,+3.316583E+00
-1.610000E+00,+427.136E-03,+894.472E-03,+4.685930E+00
-1.607500E+00,+444.724E-03,+829.146E-03,+4.685930E+00
-1.605000E+00,+507.538E-03,+708.543E-03,+5.879397E+00
-1.602500E+00,+547.739E-03,+645.729E-03,+7.688442E+00
-1.600000E+00,+628.141E-03,+628.141E-03,+8.165829E+00
-1.597500E+00,+693.467E-03,+565.327E-03,+7.487437E+00
-1.595000E+00,+788.945E-03,+628.141E-03,+9.095477E+00
-1.592500E+00,+869.347E-03,+572.864E-03,+9.497487E+00
-1.590000E+00,+967.337E-03,+628.141E-03,+10.502513E+00
-1.587500E+00,+1.087940E+00,+587.940E-03,+11.545226E+00
-1.585000E+00,+1.190955E+00,+660.804E-03,+11.432161E+00
-1.582500E+00,+1.351759E+00,+668.342E-03,+12.914573E+00
-1.580000E+00,+1.489950E+00,+668.342E-03,+13.442211E+00
-1.577500E+00,+1.610553E+00,+814.070E-03,+13.442211E+00
-1.575000E+00,+1.753769E+00,+814.070E-03,+14.849246E+00
-1.572500E+00,+1.914573E+00,+989.950E-03,+14.359297E+00
-1.570000E+00,+2.075377E+00,+974.874E-03,+14.120603E+00
-1.567500E+00,+2.195980E+00,+1.208543E+00,+14.045226E+00
-1.565000E+00,+2.356784E+00,+1.256281E+00,+13.153266E+00
-1.562500E+00,+2.517588E+00,+1.329146E+00,+12.952261E+00
-1.560000E+00,+2.678392E+00,+1.552764E+00,+14.849246E+00
-1.557500E+00,+2.839196E+00,+1.577889E+00,+12.839196E+00
-1.555000E+00,+2.977387E+00,+1.859296E+00,+12.110553E+00
-1.552500E+00,+3.120603E+00,+1.884422E+00,+10.703518E+00
-1.550000E+00,+3.281407E+00,+2.092965E+00,+11.344221E+00
-1.547500E+00,+3.402010E+00,+2.261307E+00,+11.633166E+00
-1.545000E+00,+3.522613E+00,+2.389447E+00,+11.105528E+00
-1.542500E+00,+3.658291E+00,+2.638191E+00,+9.221106E+00
-1.540000E+00,+3.763819E+00,+2.655779E+00,+8.165829E+00
-1.537500E+00,+3.884422E+00,+2.937186E+00,+11.306533E+00
-1.535000E+00,+3.964824E+00,+2.984925E+00,+11.984925E+00
-1.532500E+00,+4.045226E+00,+3.110553E+00,+12.550251E+00
-1.530000E+00,+4.125628E+00,+3.263819E+00,+14.447236E+00
-1.527500E+00,+4.206030E+00,+3.296482E+00,+14.158292E+00
-1.525000E+00,+4.246231E+00,+3.442211E+00,+13.756281E+00
-1.522500E+00,+4.286432E+00,+3.417085E+00,+14.045226E+00
-1.520000E+00,+4.326633E+00,+3.537688E+00,+13.555276E+00
